rank,artist
1,"Drake"
2,"Post Malone"
3,"Cardi B"
4,"Ed Sheeran"
5,"Imagine Dragons"
6,"Camila Cabello"
7,"XXXTENTACION"
8,"Ariana Grande"
9,"Migos"
10,"Maroon 5"
11,"Juice WRLD"
12,"Dua Lipa"
13,"Travis Scott"
14,"Halsey"
15,"Khalid"
16,"6ix9ine"
17,"Florida Georgia Line"
18,"Ella Mai"
19,"Kendrick Lamar"
20,"Taylor Swift"
21,"Nicki Minaj"
22,"Bebe Rexha"
23,"Bazzi"
24,"Marshmello"
25,"Eminem"
26,"Lil Pump"
27,"21 Savage"
28,"NF"
29,"Demi Lovato"
30,"Selena Gomez"
31,"Charlie Puth"
32,"G-Eazy"
33,"The Weeknd"
34,"Lil Baby"
35,"Dan + Shay"
36,"Kane Brown"
37,"J Balvin"
38,"YoungBoy Never Broke Again"
39,"Bruno Mars"
40,"Shawn Mendes"
41,"J. Cole"
42,"Rich The Kid"
43,"Bad Bunny"
44,"Lil Wayne"
45,"5 Seconds Of Summer"
46,"SZA"
47,"Portugal. The Man"
48,"Luke Combs"
49,"Lauv"
50,"Thomas Rhett"
51,"Childish Gambino"
52,"BlocBoy JB"
53,"Sam Smith"
54,"Maren Morris"
55,"Jason Aldean"
56,"Offset"
57,"Luke Bryan"
58,"Kodak Black"
59,"Young Thug"
60,"Kanye West"
61,"Ty Dolla $ign"
62,"Tyga"
63,"Logic"
64,"Brett Young"
65,"Zedd"
66,"Normani"
67,"Old Dominion"
68,"Grey"
69,"Famous Dex"
70,"Kenny Chesney"
71,"Lil Uzi Vert"
72,"Metro Boomin"
73,"Justin Timberlake"
74,"Daddy Yankee"
75,"Russell Dickerson"
76,"Anne-Marie"
77,"Lil Dicky"
78,"YG"
79,"Beyonce"
80,"DJ Khaled"
81,"Chris Brown"
82,"Blake Shelton"
83,"Gucci Mane"
84,"Quavo"
85,"The Carters"
86,"Lil Skies"
87,"Chris Stapleton"
88,"MAX"
89,"Ozuna"
90,"P!nk"
91,"Miguel"
92,"Calvin Harris"
93,"Panic! At The Disco"
94,"lovelytheband"
95,"Foster The People"
96,"Eric Church"
97,"Chris Young"
98,"A$AP Ferg"
99,"A$AP Rocky"
100,"Queen Naija"
