rank,artist
1,Bad Bunny
2,Taylor Swift
3,Harry Styles
4,Drake
5,Morgan Wallen
6,Doja Cat
7,Ed Sheeran
8,Adele
9,The Weeknd
10,Lil Baby
11,Future
12,Justin Bieber
13,Post Malone
14,Jack Harlow
15,Kendrick Lamar
16,Luke Combs
17,Juice WRLD
18,Glass Animals
19,Lil Durk
20,Lil Nas X
21,Dua Lipa
22,Elton John
23,YoungBoy Never Broke Again
24,Rod Wave
25,Kanye West
26,Olivia Rodrigo
27,Beyonce
28,The Kid LAROI
29,Billie Eilish
30,Kodak Black
31,Lizzo
32,Gunna
33,Imagine Dragons
34,Latto
35,Chris Stapleton
36,Summer Walker
37,Walker Hayes
38,Polo G
39,SZA
40,Bruno Mars
41,Zach Bryan
42,Steve Lacy
43,Eminem
44,Bailey Zimmerman
45,"Tyler, The Creator"
46,Kate Bush
47,Karol G
48,Kane Brown
49,GAYLE
50,Nardo Wick
51,Cole Swindell
52,Ariana Grande
53,Lil Uzi Vert
54,BTS
55,Cody Johnson
56,J. Cole
57,Megan Thee Stallion
58,Nicki Minaj
59,Chris Brown
60,XXXTENTACION
61,Anderson .Paak
62,Machine Gun Kelly
63,Pop Smoke
64,The Beatles
65,Moneybagg Yo
66,Fleetwood Mac
67,Queen
68,Jason Aldean
69,Em Beihold
70,Michael Jackson
71,OneRepublic
72,Travis Scott
73,Playboi Carti
74,Giveon
75,Mariah Carey
76,Lady Gaga
77,Frank Ocean
78,Yeat
79,Red Hot Chili Peppers
80,Andy Williams
81,Jordan Davis
82,DJ Khaled
83,J.I.D
84,Guns N' Roses
85,Joji
86,Charlie Puth
87,Michael Buble
88,Carrie Underwood
89,Metallica
90,Dove Cameron
91,Stephanie Beatriz
92,Baby Keem
93,Rauw Alejandro
94,Brent Faiyaz
95,Jessica Darrow
96,Chencho Corleone
97,Coldplay
98,CKay
99,Nirvana
100,21 Savage
