rank,artist
1,Taylor Swift
2,Morgan Wallen
3,Zach Bryan
4,Drake
5,Sabrina Carpenter
6,Billie Eilish
7,SZA
8,Luke Combs
9,Post Malone
10,Kendrick Lamar
11,Chappell Roan
12,Teddy Swims
13,Noah Kahan
14,Olivia Rodrigo
15,Benson Boone
16,Doja Cat
17,Future
18,Ariana Grande
19,Travis Scott
20,Bad Bunny
21,Hozier
22,Shaboozey
23,Jelly Roll
24,Metro Boomin
25,Tate McRae
26,Beyonce
27,21 Savage
28,Chris Stapleton
29,Eminem
30,The Weeknd
31,Dua Lipa
32,Tommy Richman
33,Nicki Minaj
34,Jack Harlow
35,Ye
36,Peso Pluma
37,Fuerza Regida
38,Karol G
39,GloRilla
40,Gunna
41,Rod Wave
42,Sexyy Red
43,Bailey Zimmerman
44,Charli xcx
45,Megan Thee Stallion
46,Cody Johnson
47,Miley Cyrus
48,Bryson Tiller
49,J. Cole
50,Tyla
51,Lainey Wilson
52,Frank Ocean
53,Lil Baby
54,Dasha
55,Fleetwood Mac
56,Juice WRLD
57,HARDY
58,Bruno Mars
59,Nate Smith
60,Jung Kook
61,Thomas Rhett
62,Linkin Park
63,"Tyler, The Creator"
64,BigXthaPlug
65,Mariah Carey
66,Ty Dolla $ign
67,Xavi
68,Michael Jackson
69,Usher
70,BossMan Dlow
71,Chris Brown
72,Elton John
73,Stray Kids
74,Lana Del Rey
75,Kacey Musgraves
76,Eagles
77,Warren Zeiders
78,Tucker Wetmore
79,Rihanna
80,Nat King Cole
81,Djo
82,Don Toliver
83,Summer Walker
84,Creedence Clearwater Revival
85,Coldplay
86,Queen
87,Lady Gaga
88,Brenda Lee
89,Gracie Abrams
90,Jessie Murph
91,Kane Brown
92,The Kid LAROI
93,Flo Milli
94,Playboi Carti
95,Lil Uzi Vert
96,Ed Sheeran
97,Lil Wayne
98,Bob Marley And The Wailers
99,The Rolling Stones
100,Bobby Helms
