rank,artist
1,Taylor Swift
2,Morgan Wallen
3,SZA
4,Drake
5,Luke Combs
6,Zach Bryan
7,The Weeknd
8,21 Savage
9,Miley Cyrus
10,Post Malone
11,Metro Boomin
12,Peso Pluma
13,Travis Scott
14,Harry Styles
15,Bad Bunny
16,Olivia Rodrigo
17,Bailey Zimmerman
18,Rod Wave
19,Lil Baby
20,Beyonce
21,Lil Uzi Vert
22,Ed Sheeran
23,Karol G
24,Lil Durk
25,Ice Spice
26,Gunna
27,Chris Brown
28,Doja Cat
29,Kendrick Lamar
30,"Tyler, The Creator"
31,Jelly Roll
32,Future
33,Juice WRLD
34,Kane Brown
35,Nicki Minaj
36,Lainey Wilson
37,Jordan Davis
38,Fuerza Regida
39,Grupo Frontera
40,Rihanna
41,Rema
42,Elton John
43,Billie Eilish
44,Dua Lipa
45,Miguel
46,Selena Gomez
47,Chris Stapleton
48,HARDY
49,Toosii
50,Eminem
51,Steve Lacy
52,Fleetwood Mac
53,Sam Smith
54,JVKE
55,Lana Del Rey
56,Noah Kahan
57,Coi Leray
58,J. Cole
59,Ariana Grande
60,Lizzo
61,Eslabon Armado
62,David Guetta
63,Michael Jackson
64,Mariah Carey
65,Lady Gaga
66,Kanye West
67,Meghan Trainor
68,Frank Ocean
69,Bebe Rexha
70,Kim Petras
71,Tyler Hubbard
72,Nat King Cole
73,Metallica
74,YoungBoy Never Broke Again
75,Fifty Fifty
76,Brenda Lee
77,Queen
78,Jason Aldean
79,Stephen Sanchez
80,Megan Moroney
81,Tyler Childers
82,Brent Faiyaz
83,Michael Buble
84,Bruno Mars
85,Elvis Presley
86,NewJeans
87,Young Thug
88,Creedence Clearwater Revival
89,Burl Ives
90,Melanie Martinez
91,Bobby Helms
92,Kali Uchis
93,P!nk
94,Imagine Dragons
95,Guns N' Roses
96,Coldplay
97,Andy Williams
98,The Kid LAROI
99,Kelly Clarkson
100,Polo G
