rank,album,artist
1,"Reputation","Taylor Swift"
2,"Scorpion","Drake"
3,"beerbongs & bentleys","Post Malone"
4,"The Greatest Showman","Soundtrack"
5,"Divide","Ed Sheeran"
6,"Invasion Of Privacy","Cardi B"
7,"ASTROWORLD","Travis Scott"
8,"Stoney","Post Malone"
9,"?","XXXTentacion"
10,"Culture II","Migos"
11,"Evolve","Imagine Dragons"
12,"The Punisher: The Album","Soundtrack"
13,"DAMN.","Kendrick Lamar"
14,"KOD","J. Cole"
15,"American Teen","Khalid"
16,"Luv Is Rage 2","Lil Uzi Vert"
17,"Kamikaze","Eminem"
18,"Goodbye & Good Riddance","Juice WRLD"
19,"17","XXXTentacion"
20,"This One's For You","Luke Combs"
21,"The Muppet Movie: Original Soundtrack Recording","Soundtrack"
22,"Red Pill Blues","Maroon 5"
23,"The Thrill Of It All","Sam Smith"
24,"Tha Carter V","Lil Wayne"
25,"Camila","Camila Cabello"
26,"24K Magic","Bruno Mars"
27,"Kane Brown","Kane Brown"
28,"Heartbreak On A Full Moon","Chris Brown"
29,"The Beautiful & Damned","G-Eazy"
30,"Rearview Town","Jason Aldean"
31,"Ctrl","SZA"
32,"Revival","Eminem"
33,"More Life","Drake"
34,"Traveller","Chris Stapleton"
35,"Tell Me You Love Me","Demi Lovato"
36,"Beautiful Trauma","P!nk"
37,"A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
38,"Sweetener","Ariana Grande"
39,"Harder Than Ever","Lil Baby"
40,"Perception","NF"
41,"Life Changes","Thomas Rhett"
42,"Queen","Nicki Minaj"
43,"Project Baby Two","Kodak Black"
44,"Life Of A Dark Rose","Lil Skies"
45,"Without Warning","21 Savage, Offset & Metro Boomin"
46,"Man Of The Woods","Justin Timberlake"
47,"Views","Drake"
48,"My Dear Melancholy, (EP)","The Weeknd"
49,"Starboy","The Weeknd"
50,"ye","Kanye West"
51,"hopeless fountain kingdom","Halsey"
52,"Moana","Soundtrack"
53,"Dua Lipa","Dua Lipa"
54,"What Makes You Country","Luke Bryan"
55,"Shawn Mendes","Shawn Mendes"
56,"Odisea","Ozuna"
57,"Pray For The Wicked","Panic! At The Disco"
58,"Take Care","Drake"
59,"Curtain Call: The Hits","Eminem"
60,"From A Room: Volume 2","Chris Stapleton"
61,"Brett Young","Brett Young"
62,"Diamonds","Elton John"
63,"x","Ed Sheeran"
64,"Bobby Tarantino II","Logic"
65,"From A Room: Volume 1","Chris Stapleton"
66,"Culture","Migos"
67,"The World Is Yours","Rich The Kid"
68,"H.E.R.","H.E.R."
69,"Cosmic","Bazzi"
70,"EVERYTHING IS LOVE","The Carters"
71,"Night Visions","Imagine Dragons"
72,"Youngblood","5 Seconds Of Summer"
73,"Birds In The Trap Sing McKnight","Travis Scott"
74,"Greatest Hits 2","Toby Keith"
75,"DAY69","6ix9ine"
76,"Until Death Call My Name","YoungBoy Never Broke Again"
77,"Blurryface","Twenty One Pilots"
78,"Legend","Bob Marley & The Wailers"
