rank,album,artist
79,"Graduation","Kanye West"
80,"5th Gear","Brad Paisley"
81,"Lupe Fiasco's The Cool","Lupe Fiasco"
82,"35 Biggest Hits","Toby Keith"
83,"The Makings Of A Man","Jaheim"
84,"Love/Hate","The-Dream"
85,"Blackout","Britney Spears"
86,"Finding Beauty In Negative Spaces","Seether"
87,"22 More Hits","George Strait"
88,"Pocketful Of Sunshine","Natasha Bedingfield"
89,"Some Hearts","Carrie Underwood"
90,"Rough Around The Edges: Live From Madison Square Garden","Dane Cook"
91,"Thirsty","Marvin Sapp"
92,"Echoes, Silence, Patience & Grace","Foo Fighters"
93,"Jennifer Hudson","Jennifer Hudson"
94,"Narrow Stairs","Death Cab For Cutie"
95,"The Altar and The Door","Casting Crowns"
96,"15","Buckcherry"
97,"Hannah Montana/Best Of Both Worlds Concert","Miley Cyrus"
98,"Across The Universe","Soundtrack"
99,"Once","Soundtrack"
100,"Untitled","Nas"
101,"Nothing But The Best","Frank Sinatra"
102,"Discipline","Janet Jackson"
103,"Everything Is Fine","Josh Turner"
104,"One Man Band","James Taylor"
105,"Flyleaf","Flyleaf"
106,"One - X","Three Days Grace"
107,"Continuum","John Mayer"
108,"Home Before Dark","Neil Diamond"
109,"Back Of My Lac'","J. Holiday"
110,"Weezer (Red Album)","Weezer"
111,"Lucky Old Sun","Kenny Chesney"
112,"Crazy Ex-Girlfriend","Miranda Lambert"
113,"High School Musical","Soundtrack"
114,"Detours","Sheryl Crow"
115,"Ego Trippin","Snoop Dogg"
116,"Exile On Mainstream","matchbox twenty"
117,"Avenged Sevenfold","Avenged Sevenfold"
118,"Hairspray","Soundtrack"
119,"DAY26","DAY26"
120,"Face Off","Bow Wow & Omarion"
121,"Mail On Sunday","Flo Rida"
122,"Pretty.Odd.","Panic At The Disco"
123,"Vampire Weekend","Vampire Weekend"
124,"Wisin Vs. Yandel: Los Extraterrestres","Wisin & Yandel"
125,"5*Stunna","Birdman"
126,"FutureSex/LoveSounds","Justin Timberlake"
127,"Accelerate","R.E.M."
128,"Magic","Bruce Springsteen"
129,"New Amerykah: Part One (4th World War)","Erykah Badu"
130,"Funhouse","P!nk"
131,"All That Is Within Me","MercyMe"
132,"Sunset Man","James Otto"
133,"The Fight Of My Life","Kirk Franklin"
134,"Lady Antebellum","Lady Antebellum"
135,"Enchanted","Soundtrack"
136,"Timbaland Presents Shock Value","Timbaland"
137,"Go","Mario"
138,"Sweeney Todd: The Demon Barber Of Fleet Street","Soundtrack"
139,"Them Vs. You Vs. Me","Finger Eleven"
140,"Sawdust","The Killers"
141,"Para Siempre","Vicente Fernandez"
142,"WOW Hits 2008","Various Artists"
143,"Living Hard","Gary Allan"
144,"Who We Are","Lifehouse"
145,"Sex and The City","Soundtrack"
146,"Step Up 2: The Streets","Soundtrack"
147,"Twilight","Soundtrack"
148,"Saturday Nights & Sunday Mornings","Counting Crows"
149,"Heavier Things","John Mayer"
150,"Audio Day Dream","Blake Lewis"
151,"Radio Disney Jams 10","Various Artists"
152,"Something Else","Robin Thicke"
153,"Last 2 Walk","Three 6 Mafia"
154,"August Rush","Soundtrack"
155,"Ultimate Santana","Santana"
156,"2008 Grammy Nominees","Various Artists"
157,"Evolver","John Legend"
158,"II Trill","Bun-B"
159,"The Illusion Of Progress","Staind"
160,"Lost Highway","Bon Jovi"
161,"Love Behind The Melody","Raheem DeVaughn"
162,"Stockings By The Fire","Various Artists"
163,"Into The Wild (Soundtrack)","Eddie Vedder"
164,"Boys Like Girls","Boys Like Girls"
165,"Fight With Tools","Flobots"
166,"The Reminder","Feist"
167,"If You're Going Through Hell","Rodney Atkins"
168,"Covers","James Taylor"
169,"The Declaration","Ashanti"
170,"B'Day","Beyoncé"
171,"Good Times, Bad Times...Ten Years Of Godsmack","Godsmack"
172,"Let It Go","Tim McGraw"
173,"Greatest Hits Volume One The Singles","Goo Goo Dolls"
174,"A Toby Keith Classic Christmas: Volumes One & Two","Toby Keith"
175,"One Chance","Paul Potts"
176,"The Best Damn Thing","Avril Lavigne"
177,"The Block","New Kids On The Block"
178,"Modern Guilt","Beck"
179,"Motown: A Journey Through Hitsville USA","Boyz II Men"
180,"Scars & Souvenirs","Theory Of A Deadman"
181,"Greatest Hits 3","Tim McGraw"
182,"Metro Station","Metro Station"
183,"Lyfe Change","Lyfe Jennings"
184,"The Sound Of Madness","Shinedown"
185,"Fearless","Jazmine Sullivan"
186,"Saints Of Los Angeles","Motley Crue"
187,"Disney Channel Holiday","Various Artists"
188,"T*O*S (Terminate On Sight)","G Unit"
189,"Saving Abel","Saving Abel"
190,"Consolers Of The Lonely","The Raconteurs"
191,"95/08","Enrique Iglesias"
192,"Beautiful Eyes (EP)","Taylor Swift"
193,"Curtis","50 Cent"
194,"Julianne Hough","Julianne Hough"
195,"Revelation","Third Day"
196,"Famous","Puddle Of Mudd"
197,"19","Adele"
198,"Learn To Live","Darius Rucker"
199,"Kidz Bop 13","Kidz Bop Kids"
200,"Italia","Chris Botti"
