rank,album,artist
1,"As I Am","Alicia Keys"
2,"Noel","Josh Groban"
3,"Tha Carter III","Lil Wayne"
4,"Long Road Out Of Eden","Eagles"
5,"Taylor Swift","Taylor Swift"
6,"Rock N Roll Jesus","Kid Rock"
7,"Viva La Vida or Death and All His Friends","Coldplay"
8,"NOW That's What I Call Classic Rock","Various Artists"
9,"Carnival Ride","Carrie Underwood"
10,"The Ultimate Hits","Garth Brooks"
11,"Hannah Montana 2 (Soundtrack)/Meet Miley Cyrus","Miley Cyrus"
12,"Growing Pains","Mary J. Blige"
13,"Exclusive","Chris Brown"
14,"Sleep Through The Static","Jack Johnson"
15,"Black Ice","AC/DC"
16,"Death Magnetic","Metallica"
17,"Jonas Brothers","Jonas Brothers"
18,"Coco","Colbie Caillat"
19,"Spirit","Leona Lewis"
20,"High School Musical 2","Soundtrack"
21,"Good Girl Gone Bad","Rihanna"
22,"E=MC2","Mariah Carey"
23,"Paper Trail","T.I."
24,"Slam -- The Soundtrack","Soundtrack"
25,"A Little Bit Longer","Jonas Brothers"
26,"Camp Rock","Soundtrack"
27,"Here I Stand","Usher"
28,"Still Feels Good","Rascal Flatts"
29,"Love On The Inside","Sugarland"
30,"Enjoy The Ride","Sugarland"
31,"Mothership","Led Zeppelin"
32,"Breakout","Miley Cyrus"
33,"Daughtry","Daughtry"
34,"Taking Chances","Celine Dion"
35,"Jordin Sparks","Jordin Sparks"
36,"Just Like You","Keyshia Cole"
37,"NOW That's What I Call Classic Rock","Various Artists"
38,"Urban Chipmunk","The Chipmunks"
39,"Raising Sand","Robert Plant / Alison Krauss"
40,"Juno","Soundtrack"
41,"NOW That's What I Call Classic Rock","Various Artists"
42,"Indestructible","Disturbed"
43,"Back To Black","Amy Winehouse"
44,"Dreaming Out Loud","OneRepublic"
45,"The Dutchess","Fergie"
46,"Minutes To Midnight","Linkin Park"
47,"Little Voice","Sara Bareilles"
48,"All The Right Reasons","Nickelback"
49,"Just Who I Am: Poets & Pirates","Kenny Chesney"
50,"Trilla","Rick Ross"
51,"Call Me Irresponsible","Michael Buble"
52,"Reba Duets","Reba McEntire"
53,"Hard Candy","Madonna"
54,"High School Musical 3: Senior Year","Soundtrack"
55,"RIOT!","Paramore"
56,"Christmas Song","Mannheim Steamroller"
57,"American Gangster","Jay-Z"
58,"Greatest Hits","Keith Urban"
59,"It Won't Be Soon Before Long","Maroon 5"
60,"In Rainbows","Radiohead"
61,"Troubadour","George Strait"
62,"The Recession","Young Jeezy"
63,"souljaboytellem.com","Soulja Boy Tell 'Em"
64,"3 Doors Down","3 Doors Down"
65,"Year Of The Gentleman","Ne-Yo"
66,"Fearless","Taylor Swift"
67,"Good Time","Alan Jackson"
68,"We Sing. We Dance. We Steal Things.","Jason Mraz"
69,"Rockferry","Duffy"
70,"LAX","The Game"
71,"Hannah Montana","Soundtrack"
72,"All Hope Is Gone","Slipknot"
73,"One Of The Boys","Katy Perry"
74,"The Best Of Andrea Bocelli: Vivere","Andrea Bocelli"
75,"Welcome To The Dollhouse","Danity Kane"
76,"Definition Of Real","Plies"
77,"American Man: Greatest Hits Volume II","Trace Adkins"
78,"Revelation","Journey"
