rank,album,artist
1,"21","Adele"
2,"Speak Now","Taylor Swift"
3,"Born This Way","Lady Gaga"
4,"My Kinda Party","Jason Aldean"
5,"The Gift","Susan Boyle"
6,"Tha Carter IV","Lil Wayne"
7,"Pink Friday","Nicki Minaj"
8,"Sigh No More","Mumford & Sons"
9,"Loud","Rihanna"
10,"Teenage Dream","Katy Perry"
11,"My Beautiful Dark Twisted Fantasy","Kanye West"
12,"Doo-Wops & Hooligans","Bruno Mars"
13,"Recovery","Eminem"
14,"Watch The Throne","Jay-Z & Kanye West"
15,"O Holy Night","Jackie Evancho"
16,"Born Free","Kid Rock"
17,"Nothing Like This","Rascal Flatts"
18,"My World 2.0","Justin Bieber"
19,"Need You Now","Lady Antebellum"
20,"Glee: The Music, The Christmas Album","Soundtrack"
21,"4","Beyoncé"
22,"Greatest Hits... So Far!!!","P!nk"
23,"You Get What You Give","Zac Brown Band"
24,"Illuminations","Josh Groban"
25,"Own The Night","Lady Antebellum"
26,"F.A.M.E.","Chris Brown"
27,"The Beginning","The Black Eyed Peas"
28,"Never Say Never: The Remixes (EP)","Justin Bieber"
29,"My Worlds Acoustic","Justin Bieber"
30,"The Band Perry","The Band Perry"
31,"Femme Fatale","Britney Spears"
32,"NOW 37","Various Artists"
33,"The Incredible Machine","Sugarland"
34,"NOW That's What I Call Country Vol. 2","Various Artists"
35,"Mylo Xyloto","Coldplay"
36,"Get Closer","Keith Urban"
37,"19","Adele"
38,"Rolling Papers","Wiz Khalifa"
39,"Wasting Light","Foo Fighters"
40,"WWE: The Music Volume 8","Soundtrack"
41,"Hell: The Sequel (EP)","Bad Meets Evil"
42,"Hemingway's Whiskey","Kenny Chesney"
43,"Love Letter","R. Kelly"
44,"Lungs","Florence + The Machine"
45,"Dream With Me","Jackie Evancho"
46,"This Is Country Music","Brad Paisley"
47,"I Am Not A Human Being","Lil Wayne"
48,"Greatest Hits","Bon Jovi"
49,"Duets II","Tony Bennett"
50,"Brothers","The Black Keys"
51,"No Mercy","T.I."
52,"NOW 36","Various Artists"
53,"Believe","Cher"
54,"Michael","Michael Jackson"
55,"Torches","Foster The People"
56,"The Fame","Lady Gaga"
57,"Clear As Day","Scotty McCreery"
58,"Revolution","Miranda Lambert"
59,"Lasers","Lupe Fiasco"
60,"Number One Hits","Tim McGraw"
61,"Tailgates & Tanlines","Luke Bryan"
62,"Hands All Over","Maroon 5"
63,"BTR (Soundtrack)","Big Time Rush"
64,"NOW 39","Various Artists"
65,"Tron: Legacy (Soundtrack)","Daft Punk"
66,"Chief","Eric Church"
67,"A Year Without Rain","Selena Gomez & The Scene"
68,"The Foundation","Zac Brown Band"
69,"Cannibal","Ke$ha"
70,"Hello Fear","Kirk Franklin"
71,"I'm With You","Red Hot Chili Peppers"
72,"Red River Blue","Blake Shelton"
73,"Loaded: The Best Of Blake Shelton","Blake Shelton"
74,"I Remember Me","Jennifer Hudson"
75,"Cole World: The Sideline Story","J. Cole"
76,"When The Sun Goes Down","Selena Gomez & The Scene"
77,"Late Nights & Early Mornings","Marsha Ambrosius"
78,"The Lady Killer","Cee Lo Green"
79,"Save Me, San Francisco","Train"
80,"The Light Of The Sun","Jill Scott"
81,"Best Night Of My Life","Jamie Foxx"
82,"Christmas","Michael Buble"
83,"My Christmas","Andrea Bocelli"
84,"Merry Christmas II You","Mariah Carey"
85,"Kidz Bop 19","Kidz Bop Kids"
86,"Songs For Japan","Various Artists"
87,"Lemonade Mouth","Soundtrack"
88,"Fearless","Taylor Swift"
89,"And If Our God Is For Us...","Chris Tomlin"
90,"Country Strong","Soundtrack"
91,"Thank Me Later","Drake"
92,"Hot Sauce Committee Part Two","Beastie Boys"
93,"Come Around Sundown","Kings Of Leon"
94,"Under The Mistletoe","Justin Bieber"
95,"Animal","Ke$ha"
96,"Calling All Hearts","Keyshia Cole"
97,"The Suburbs","The Arcade Fire"
98,"All I Want Is You","Miguel"
99,"Stronger","Sara Evans"
100,"Bon Iver","Bon Iver"
101,"Charleston, SC 1966","Darius Rucker"
102,"Greatest Hits 2","Journey"
103,"Outlaws Like Me","Justin Moore"
104,"Passion, Pain & Pleasure","Trey Songz"
105,"Libra Scale","Ne-Yo"
106,"Kidz Bop 20","Kidz Bop Kids"
107,"A Thousand Suns","Linkin Park"
108,"My World (EP)","Justin Bieber"
109,"WOW Hits 2011","Various Artists"
110,"WWE: The Music Volume 8","Soundtrack"
111,"Paper Airplane","Alison Krauss & Union Station"
112,"No Boys Allowed","Keri Hilson"
113,"Enjoy Yourself","Billy Currington"
114,"The E.N.D.","The Black Eyed Peas"
115,"Goodbye Lullaby","Avril Lavigne"
116,"5.0","Nelly"
117,"The King Is Dead","The Decemberists"
118,"Last Train To Paris","Diddy - Dirty Money"
119,"Love?","Jennifer Lopez"
120,"Number Ones","Michael Jackson"
121,"Awake","Skillet"
122,"Noel","Josh Groban"
123,"Helplessness Blues","Fleet Foxes"
124,"Planet Pit","Pitbull"
125,"Finally Famous","Big Sean"
126,"Stronger","Kelly Clarkson"
127,"Glory In The Highest: Christmas Songs Of Worship","Chris Tomlin"
128,"34 Number Ones","Alan Jackson"
129,"Here For A Good Time","George Strait"
130,"Danger Days: The True Lives Of The Fabulous Killjoys","My Chemical Romance"
131,"So Beautiful Or So What","Paul Simon"
132,"Sorry For Party Rocking","LMFAO"
133,"Nightmare","Avenged Sevenfold"
134,"Man On The Moon II: The Legend Of Mr. Rager","Kid Cudi"
135,"The King Of Limbs","Radiohead"
136,"lovestrong.","Christina Perri"
137,"Until The Whole World Hears","Casting Crowns"
138,"Neighborhoods","Blink-182"
139,"Science & Faith","The Script"
140,"NOW That's What I Call Christmas! 4","Various Artists"
141,"Evanescence","Evanescence"
142,"American Tragedy","Hollywood Undead"
143,"Codes and Keys","Death Cab For Cutie"
144,"Neon","Chris Young"
145,"Curtain Call: The Hits","Eminem"
146,"Thompson Square","Thompson Square"
147,"Glee, The Music Presents: The Warblers","Soundtrack"
148,"A Merry Little Christmas (EP)","Lady Antebellum"
149,"Legend","Bob Marley & The Wailers"
150,"Hits Alive","Brad Paisley"
151,"Chronicle (The 20 Greatest Hits)","Creedence Clearwater Revival"
152,"Holding Onto Strings Better Left To Fray","Seether"
153,"Barton Hollow","The Civil Wars"
154,"4X4=12","deadmau5"
155,"Ambition","Wale"
156,"Someone To Watch Over Me","Susan Boyle"
157,"The R.E.D. Album","The Game"
158,"Just Charlie","Charlie Wilson"
159,"Endgame","Rise Against"
160,"Intimacy: Album III","Kem"
161,"Carolina","Eric Church"
162,"2011 Grammy Nominees","Various Artists"
163,"All Of You","Colbie Caillat"
164,"Taylor Swift","Taylor Swift"
165,"NOW That's What I Call Country: Volume 4","Various Artists"
166,"Town Line (EP)","Aaron Lewis"
167,"All The Women I Am","Reba McEntire"
168,"...featuring","Norah Jones"
169,"Back To Black","Amy Winehouse"
170,"Love Me Back","Jazmine Sullivan"
171,"Here I Am","Kelly Rowland"
172,"Four The Record","Miranda Lambert"
173,"The Millennium Collection: The Best Of Lynyrd Skynyrd","Lynyrd Skynyrd"
174,"American Idol Season 10 Highlights: Scotty McCreery (EP)","Scotty McCreery"
175,"1","The Beatles"
176,"Play On","Carrie Underwood"
177,"Ukulele Songs","Eddie Vedder"
178,"Turtleneck & Chain","The Lonely Island"
