rank,album,artist
1,"Frozen","Soundtrack"
2,"Beyoncé","Beyoncé"
3,"1989","Taylor Swift"
4,"Midnight Memories","One Direction"
5,"The Marshall Mathers LP 2","Eminem"
6,"Pure Heroine","Lorde"
7,"Crash My Party","Luke Bryan"
8,"Prism","Katy Perry"
9,"Blame It All On My Roots: Five Decades Of Influences","Garth Brooks"
10,"Here's To The Good Times","Florida Georgia Line"
11,"In The Lonely Hour","Sam Smith"
12,"Night Visions","Imagine Dragons"
13,"The Outsiders","Eric Church"
14,"Ghost Stories","Coldplay"
15,"NOW That's What I Call Country Vol. 2","Various Artists"
16,"Just As I Am","Brantley Gilbert"
17,"Wrapped In Red","Kelly Clarkson"
18,"Duck The Halls: A Robertson Family Christmas","The Robertsons"
19,"Guardians Of The Galaxy: Awesome Mix Vol. 1","Soundtrack"
20,"Partners","Barbra Streisand"
21,"x","Ed Sheeran"
22,"Native","OneRepublic"
23,"Bangerz","Miley Cyrus"
24,"NOW That's What I Call Country Vol. 2","Various Artists"
25,"Nothing Was The Same","Drake"
26,"G I R L","Pharrell Williams"
27,"5 Seconds Of Summer","5 Seconds Of Summer"
28,"Old Boots, New Dirt","Jason Aldean"
29,"Unorthodox Jukebox","Bruno Mars"
30,"Platinum","Miranda Lambert"
31,"NOW That's What I Call Country Vol. 2","Various Artists"
32,"The 20/20 Experience (2 Of 2)","Justin Timberlake"
33,"Love In The Future","John Legend"
34,"ARTPOP","Lady Gaga"
35,"V","Maroon 5"
36,"Xscape","Michael Jackson"
37,"AM","Arctic Monkeys"
38,"Turn Blue","The Black Keys"
39,"Based On A True Story ...","Blake Shelton"
40,"Bad Blood","Bastille"
41,"Black Panties","R. Kelly"
42,"The New Classic","Iggy Azalea"
43,"Ultraviolence","Lana Del Rey"
44,"Mastermind","Rick Ross"
45,"Because The Internet","Childish Gambino"
46,"My Everything","Ariana Grande"
47,"Anything Goes","Florida Georgia Line"
48,"NOW 51","Various Artists"
49,"Oxymoron","ScHoolboy Q"
50,"Cheek To Cheek","Tony Bennett & Lady Gaga"
51,"Christmas","Michael Buble"
52,"Kidz Bop 25","Kidz Bop Kids"
53,"She Looks So Perfect (EP)","5 Seconds Of Summer"
54,"2014 Grammy Nominees","Various Artists"
55,"Lazaretto","Jack White"
56,"Born To Die","Lana Del Rey"
57,"The Wrong Side Of Heaven and The Righteous Side Of Hell: Volume 2","Five Finger Death Punch"
58,"Trigga","Trey Songz"
59,"A Mary Christmas","Mary J. Blige"
60,"Morning Phase","Beck"
61,"The Heist","Macklemore & Ryan Lewis"
62,"X","Chris Brown"
63,"Cole Swindell","Cole Swindell"
64,"Thrive","Casting Crowns"
65,"Riser","Dierks Bentley"
66,"Sail Out (EP)","Jhene Aiko"
67,"The Hunting Party","Linkin Park"
68,"Yours Truly","Ariana Grande"
69,"good kid, m.A.A.d city","Kendrick Lamar"
70,"Hypnotic Eye","Tom Petty and The Heartbreakers"
71,"Seen It All: The Autobiography","Jeezy"
72,"The Big Revival","Kenny Chesney"
73,"WOW Hits 2014","Various Artists"
74,"Britney Jean","Britney Spears"
75,"Shakira.","Shakira"
76,"21","Adele"
77,"Legend","Bob Marley & The Wailers"
78,"Night Train","Jason Aldean"
79,"Testimony","August Alsina"
80,"The Legend Of Johnny Cash","Johnny Cash"
81,"Save Rock and Roll","Fall Out Boy"
82,"The Fault In Our Stars","Soundtrack"
83,"All The Little Lights","Passenger"
84,"Formula: Vol. 2","Romeo Santos"
85,"Same Trailer Different Park","Kacey Musgraves"
86,"Baptized","Daughtry"
87,"Doo-Wops & Hooligans","Bruno Mars"
88,"Hail To The King","Avenged Sevenfold"
89,"Mandatory Fun",""Weird Al" Yankovic"
90,"Love, Marriage & Divorce","Toni Braxton & Babyface"
91,"BRINGING BACK THE SUNSHINE","Blake Shelton"
92,"Talk Dirty","Jason Derulo"
93,"Blacc Hollywood","Wiz Khalifa"
94,"My Krazy Life","YG"
95,"NOW That's What I Call Country Vol. 2","Various Artists"
96,".5: The Gray Chapter","Slipknot"
97,"The Truth About Love","P!nk"
98,"Anomaly","Lecrae"
99,"Sonic Highways","Foo Fighters"
100,"Home For Christmas","Susan Boyle"
101,"High Hopes","Bruce Springsteen"
102,"Pitch Perfect","Soundtrack"
103,"Greatest Hits 2","Journey"
104,"Kidz Bop 26","Kidz Bop Kids"
105,"Days Of Gold","Jake Owen"
106,"Red","Taylor Swift"
107,"Rewind","Rascal Flatts"
108,"Fuse","Keith Urban"
109,"Shatter Me","Lindsey Stirling"
110,"The Hunger Games: Catching Fire","Soundtrack"
111,"Lindsey Stirling","Lindsey Stirling"
112,"Tailgates & Tanlines","Luke Bryan"
113,"True","Avicii"
114,"NOW That's What I Call Country: Volume 7","Various Artists"
115,"The Endless River","Pink Floyd"
116,"I Am","Yo Gotti"
117,"The Breeze - An Appreciation Of JJ Cale","Eric Clapton & Friends"
118,"Random Access Memories","Daft Punk"
119,"PTXmas (EP)","Pentatonix"
120,"The Eminem Show","Eminem"
121,"The Cowboy Rides Away: Live From AT&T Stadium","George Strait"
122,"+ ","Ed Sheeran"
123,"The Blessed Unrest","Sara Bareilles"
124,"Disney Karaoke Series: Frozen (EP)","Various Artists"
125,"Babel","Mumford & Sons"
126,"Storyline","Hunter Hayes"
127,"Sex and Love","Enrique Iglesias"
128,"Sundown Heaven Town","Tim McGraw"
129,"Loved Me Back To Life","Celine Dion"
130,"Blurred Lines","Robin Thicke"
131,"1000 Forms Of Fear","Sia"
132,"Out Among The Stars","Johnny Cash"
133,"747","Lady Antebellum"
134,"That Girl","Jennifer Nettles"
135,"Paramore","Paramore"
136,"Promise To Love: Album IV","Kem"
137,"Hozier","Hozier"
138,"My Own Lane","Kid Ink"
139,"Golden","Lady Antebellum"
140,"Reflektor","The Arcade Fire"
141,"The 1975","The 1975"
142,"The 20/20 Experience","Justin Timberlake"
143,"YES!","Jason Mraz"
144,"1000HP","Godsmack"
145,"Welcome To The New","MercyMe"
146,"Loaded: The Best Of Blake Shelton","Blake Shelton"
147,"Lift Your Spirit","Aloe Blacc"
148,"Souled Out","Jhene Aiko"
149,"Paperwork","T.I."
150,"Love and War","Tamar Braxton"
151,"The Best Of Nickelback: Volume 1","Nickelback"
152,"Man Against Machine","Garth Brooks"
153,"Melody Road","Neil Diamond"
154,"Hunter Hayes","Hunter Hayes"
155,"Honest","Future"
156,"Shine On","Sarah McLachlan"
157,"Rivers In The Wasteland","NEEDTOBREATHE"
158,"[Hybrid Theory]","Linkin Park"
159,"These Things Happen","G-Eazy"
160,"It Goes Like This","Thomas Rhett"
161,"Is There Anybody Out There?","A Great Big World"
162,"A Family Christmas","The Piano Guys"
163,"Ignite The Night","Chase Rice"
164,"Spring Break 6 ...Like We Ain't Ever (EP)","Luke Bryan"
165,"Halcyon","Ellie Goulding"
166,"Led Zeppelin II","Led Zeppelin"
167,"Modern Vampires Of The City","Vampire Weekend"
168,"This Is All Yours","alt-J"
169,"Days Are Gone","HAIM"
170,"See You Tonight","Scotty McCreery"
171,"I Love You.","The Neighbourhood"
172,"Foreverly","Billie Joe + Norah"
173,"Title (EP)","Meghan Trainor"
174,"Live Bullet","Bob Seger & The Silver Bullet Band"
175,"Noel","Josh Groban"
176,"Off The Beaten Path","Justin Moore"
177,"Too Weird To Live, Too Rare To Die!","Panic! At The Disco"
178,"Recess","Skrillex"
