rank,album,artist
1,"25","Adele"
2,"Views","Drake"
3,"Purpose","Justin Bieber"
4,"Lemonade","Beyoncé"
5,"ANTI","Rihanna"
6,"Blurryface","Twenty One Pilots"
7,"Traveller","Chris Stapleton"
8,"Made In The A.M.","One Direction"
9,"Beauty Behind The Madness","The Weeknd"
10,"The Muppet Movie: Original Soundtrack Recording","Soundtrack"
11,"T R A P S O U L","Bryson Tiller"
12,"When It's Dark Out","G-Eazy"
13,"A Head Full Of Dreams","Coldplay"
14,"The Very Best Of Prince","Prince"
15,"Fetty Wap","Fetty Wap"
16,"Islah","Kevin Gates"
17,"1989","Taylor Swift"
18,"Revival","Selena Gomez"
19,"Montevallo","Sam Hunt"
20,"Suicide Squad: The Album","Soundtrack"
21,"Tangled Up","Thomas Rhett"
22,"This Is Acting","Sia"
23,"Death Of A Bachelor","Panic! At The Disco"
24,"21","Adele"
25,"What A Time To Be Alive","Drake & Future"
26,"Dangerous Woman","Ariana Grande"
27,"The Life Of Pablo","Kanye West"
28,"DS2","Future"
29,"Kill The Lights","Luke Bryan"
30,"2014 Forest Hills Drive","J. Cole"
31,"That's Christmas To Me","Pentatonix"
32,"EVOL","Future"
33,"Handwritten","Shawn Mendes"
34,"Badlands","Halsey"
35,"If You're Reading This It's Too Late","Drake"
36,"Storyteller","Carrie Underwood"
37,"x","Ed Sheeran"
38,"Vessel","Twenty One Pilots"
39,"Royalty","Chris Brown"
40,"Title","Meghan Trainor"
41,"If I'm Honest","Blake Shelton"
42,"Know-It-All","Alessia Cara"
43,"Nine Track Mind","Charlie Puth"
44,"Cry Baby","Melanie Martinez"
45,"Thank You","Meghan Trainor"
46,"Immortalized","Disturbed"
47,"Reloaded: 20 #1 Hits","Blake Shelton"
48,"Blonde","Frank Ocean"
49,"My House (EP)","Flo Rida"
50,"Mr. Misunderstood","Eric Church"
51,"Ripcord","Keith Urban"
52,"Cleopatra","The Lumineers"
53,"Blue Neighbourhood","Troye Sivan"
54,"Hymns","Joey + Rory"
55,"Purple Rain","Prince and The Revolution"
