rank,album,artist
1,"When We All Fall Asleep, Where Do We Go?","Billie Eilish"
2,"Thank U, Next","Ariana Grande"
3,"A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
4,"Lover","Taylor Swift"
5,"beerbongs & bentleys","Post Malone"
6,"Scorpion","Drake"
7,"Championships","Meek Mill"
8,"ASTROWORLD","Travis Scott"
9,"Hollywood's Bleeding","Post Malone"
10,"Hoodie SZN","A Boogie wit da Hoodie"
11,"This One's For You","Luke Combs"
12,"Bohemian Rhapsody (Soundtrack)","Queen"
13,"Free Spirit","Khalid"
14,"The Greatest Showman","Soundtrack"
15,"Spider-Man: Into The Spider-Verse","Soundtrack"
16,"Dont Smile At Me","Billie Eilish"
17,"Goodbye & Good Riddance","Juice WRLD"
18,"I Am > I Was","21 Savage"
19,"Invasion Of Privacy","Cardi B"
20,"Cuz I Love You","Lizzo"
21,"?","XXXTentacion"
22,"Death Race For Love","Juice WRLD"
23,"Drip Harder","Lil Baby & Gunna"
24,"Stoney","Post Malone"
25,"Happiness Begins","Jonas Brothers"
26,"Dan + Shay","Dan + Shay"
27,"Greatest Hits","Queen"
28,"Baby On Baby","DaBaby"
29,"The Muppet Movie: Original Soundtrack Recording","Soundtrack"
30,"Look Up Child","Lauren Daigle"
31,"Divide","Ed Sheeran"
32,"Sweetener","Ariana Grande"
33,"Dying To Live","Kodak Black"
34,"Diamonds","Elton John"
35,"No.6 Collaborations Project","Ed Sheeran"
36,"American Teen","Khalid"
37,"Indigo","Chris Brown"
38,"Shawn Mendes","Shawn Mendes"
39,"Pray For The Wicked","Panic! At The Disco"
40,"Tha Carter V","Lil Wayne"
41,"Ella Mai","Ella Mai"
42,"Experiment","Kane Brown"
43,"X 100PRE","Bad Bunny"
44,"Origins","Imagine Dragons"
45,"Street Gossip","Lil Baby"
46,"7 (EP)","Lil Nas X"
47,"Not All Heroes Wear Capes","Metro Boomin"
48,"So Much Fun","Young Thug"
49,"Traveller","Chris Stapleton"
50,"Evolve","Imagine Dragons"
51,"Map Of The Soul: PERSONA","BTS"
52,"Kamikaze","Eminem"
53,"Victory Lap","Nipsey Hussle"
54,"Drip Or Drown 2","Gunna"
55,"DAMN.","Kendrick Lamar"
56,"A Love Letter To You 3","Trippie Redd"
57,"Abbey Road","The Beatles"
58,"Luv Is Rage 2","Lil Uzi Vert"
59,"Realer","YoungBoy Never Broke Again"
