rank,album,artist
1,"Fearless","Taylor Swift"
2,"I Am...Sasha Fierce","Beyoncé"
3,"Dark Horse","Nickelback"
4,"Twilight","Soundtrack"
5,"Hannah Montana 2 (Soundtrack)/Meet Miley Cyrus","Miley Cyrus"
6,"Circus","Britney Spears"
7,"808s & Heartbreak","Kanye West"
8,"The Fame","Lady Gaga"
9,"Relapse","Eminem"
10,"The E.N.D.","The Black Eyed Peas"
11,"Only By The Night","Kings Of Leon"
12,"The Blueprint 3","Jay-Z"
13,"David Cook","David Cook"
14,"The Foundation","Zac Brown Band"
15,"NOW That's What I Call Country Vol. 2","Various Artists"
16,"Funhouse","P!nk"
17,"Intuition","Jamie Foxx"
18,"No Line On The Horizon","U2"
19,"Unstoppable","Rascal Flatts"
20,"A Different Me","Keyshia Cole"
21,"Big Whiskey and The GrooGrux King","Dave Matthews Band"
22,"BLACKsummers'night","Maxwell"
23,"Love On The Inside","Sugarland"
24,"Taylor Swift","Taylor Swift"
25,"21st Century Breakdown","Green Day"
26,"Paper Trail","T.I."
27,"Learn To Live","Darius Rucker"
28,"We Sing. We Dance. We Steal Things.","Jason Mraz"
29,"I Look To You","Whitney Houston"
30,"High School Musical 3: Senior Year","Soundtrack"
31,"Black Ice","AC/DC"
32,"NOW That's What I Call Country Vol. 2","Various Artists"
33,"All I Ever Wanted","Kelly Clarkson"
34,"The Time Of Our Lives (EP)","Miley Cyrus"
35,"The Fray","The Fray"
36,"Wide Open","Jason Aldean"
37,"Leave This Town","Daughtry"
38,"NOW That's What I Call Country Vol. 2","Various Artists"
39,"Viva La Vida or Death and All His Friends","Coldplay"
40,"Lady Antebellum","Lady Antebellum"
41,"The Promise","Il Divo"
42,"Freedom","Akon"
43,"Michael Jackson's This Is It (Soundtrack)","Michael Jackson"
44,"Day & Age","The Killers"
45,"Rock N Roll Jesus","Kid Rock"
46,"Slam -- The Soundtrack","Soundtrack"
47,"Defying Gravity","Keith Urban"
48,"Crazy Love","Michael Buble"
49,"Tha Carter III","Lil Wayne"
50,"Theater Of The Mind","Ludacris"
51,"One Of The Boys","Katy Perry"
52,"Greatest Hits Volume 1","Rascal Flatts"
53,"The Sound Of Madness","Shinedown"
54,"Lines, Vines and Trying Times","Jonas Brothers"
55,"Chinese Democracy","Guns N' Roses"
56,"And Winter Came...","Enya"
57,"Working On A Dream","Bruce Springsteen"
58,"Scars & Souvenirs","Theory Of A Deadman"
59,"David Archuleta","David Archuleta"
60,"Carnival Ride","Carrie Underwood"
61,"Death Magnetic","Metallica"
62,"19","Adele"
63,"Year Of The Gentleman","Ne-Yo"
64,"Hannah Montana 2 (Soundtrack)/Meet Miley Cyrus","Miley Cyrus"
65,"That Lonesome Song","Jamey Johnson"
66,"Swan Songs","Hollywood Undead"
67,"Greatest Hits II","Kenny Chesney"
68,"In A Perfect World...","Keri Hilson"
69,"When The World Comes Down","The All-American Rejects"
70,"Good Girl Gone Bad","Rihanna"
71,"Love VS Money","The-Dream"
72,"The Point Of It All","Anthony Hamilton"
73,"Play On","Carrie Underwood"
74,"The Twilight Saga: New Moon","Soundtrack"
75,"Soul","Seal"
76,"Breakout","Miley Cyrus"
77,"A Little Bit Longer","Jonas Brothers"
78,"Twang","George Strait"
79,"Joy To The World","Faith Hill"
80,"Deeper Than Rap","Rick Ross"
81,"Folie A Deux","Fall Out Boy"
82,"American Saturday Night","Brad Paisley"
83,"Love Is The Answer","Barbra Streisand"
84,"WOW Hits 2009","Various Artists"
85,"Lotus Flow3r/MPLSoUND/Elix3r","Prince/Bria Valente"
86,"Evolver","John Legend"
87,"Thr33 Ringz","T-Pain"
88,"Chickenfoot","Chickenfoot"
89,"Lucky Old Sun","Kenny Chesney"
90,"Backspacer","Pearl Jam"
91,"Quiet Nights","Diana Krall"
92,"Troubadour","George Strait"
93,"Slumdog Millionaire","Soundtrack"
94,"Da REAList","Plies"
95,"Good Time","Alan Jackson"
96,"Epiphany","Chrisette Michele"
97,"onmyradio","Musiq Soulchild"
98,"The Last Kiss","Jadakiss"
99,"iSouljaBoyTellem","Soulja Boy Tell 'Em"
100,"Ready","Trey Songz"
101,"Memoirs Of An Imperfect Angel","Mariah Carey"
102,"Spirit","Leona Lewis"
103,"Jennifer Hudson","Jennifer Hudson"
104,"Take It To The Limit","Hinder"
105,"Cradlesong","Rob Thomas"
106,"Together Through Life","Bob Dylan"
107,"Breakthrough","Colbie Caillat"
108,"Want","3OH!3"
109,"Here We Go Again","Demi Lovato"
110,"Christmas Duets","Elvis Presley"
111,"The Sound","Mary Mary"
112,"Incanto","Andrea Bocelli"
113,"Brand New Eyes","Paramore"
114,"My Christmas","Andrea Bocelli"
115,"Keep On Loving You","Reba McEntire"
116,"All Hope Is Gone","Slipknot"
117,"Oracular Spectacular","MGMT"
118,"Dear Agony","Breaking Benjamin"
119,"Ocean Eyes","Owl City"
120,"Loso's Way (Soundtrack)","Fabolous"
121,"Southern Voice","Tim McGraw"
122,"Saving Abel","Saving Abel"
123,"Indestructible","Disturbed"
124,"The Resistance","Muse"
125,"Uncle Charlie","Charlie Wilson"
