rank,album,artist
1,"Dangerous: The Double Album",Morgan Wallen
2,Sour,Olivia Rodrigo
3,Shoot For The Stars Aim For The Moon,Pop Smoke
4,Evermore,Taylor Swift
5,Certified Lover Boy,Drake
6,"F*ck Love",The Kid LAROI
7,What You See Is What You Get,Luke Combs
8,Positions,Ariana Grande
9,Future Nostalgia,Dua Lipa
10,My Turn,Lil Baby
11,Legends Never Die,Juice WRLD
12,Folklore,Taylor Swift
13,"Hollywood's Bleeding",Post Malone
14,After Hours,The Weeknd
15,Justice,Justin Bieber
16,Fine Line,Harry Styles
17,El Ultimo Tour del Mundo,Bad Bunny
18,Good News,Megan Thee Stallion
19,The Voice,Lil Durk
20,Planet Her,Doja Cat
21,SoulFly,Rod Wave
22,"Goodbye & Good Riddance",Juice WRLD
23,Greatest Hits,Queen
24,Tickets To My Downfall,Machine Gun Kelly
25,"Hamilton: An American Musical",Original Broadway Cast
26,"A Gangsta's Pain",Moneybagg Yo
27,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
28,"The Off-Season","J. Cole"
29,"This One's For You",Luke Combs
30,The GOAT,Polo G
31,The Highlights,The Weeknd
32,Starting Over,Chris Stapleton
33,"Fearless (Taylor's Version)",Taylor Swift
34,Rumours,Fleetwood Mac
35,YHLQMDLG,Bad Bunny
36,If I Know Me,Morgan Wallen
37,Shiesty Season,Pooh Shiesty
38,The Voice Of The Heroes,"Lil Baby & Lil Durk"
39,Donda,Kanye West
40,BE,BTS
41,Happier Than Ever,Billie Eilish
42,Death Race For Love,Juice WRLD
43,Diamonds,Elton John
44,Hot Pink,Doja Cat
45,ASTROWORLD,Travis Scott
46,Music To Be Murdered By,Eminem
47,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival Featuring John Fogerty
48,"Curtain Call: The Hits",Eminem
49,Pray 4 Love,Rod Wave
50,"beerbongs & bentleys",Post Malone
51,Thats What They All Say,Jack Harlow
52,BLAME IT ON BABY,DaBaby
53,"good kid, m.A.A.d city",Kendrick Lamar
54,Scorpion,Drake
55,Pluto x Baby Pluto,"Future & Lil Uzi Vert"
56,Eternal Atake,Lil Uzi Vert
57,Traveller,Chris Stapleton
58,Hall Of Fame,Polo G
59,Over It,Summer Walker
60,"Legend: The Best Of Bob Marley And The Wailers",Bob Marley And The Wailers
61,Lover,Taylor Swift
