rank,album,artist
1,"The Life Of A Showgirl","Taylor Swift"
2,"I'm The Problem","Morgan Wallen"
3,"SOS","SZA"
4,"GNX","Kendrick Lamar"
5,"Short n' Sweet","Sabrina Carpenter"
6,"The Tortured Poets Department","Taylor Swift"
7,"One Thing At A Time","Morgan Wallen"
8,"Debi Tirar Mas Fotos","Bad Bunny"
9,"Hit Me Hard And Soft","Billie Eilish"
10,"The Rise And Fall Of A Midwest Princess","Chappell Roan"
11,"CHROMAKOPIA","Tyler, The Creator"
12,"$ome $exy $ongs 4 U","PARTYNEXTDOOR & Drake"
13,"KPop Demon Hunters Soundtrack"
14,"Dangerous: The Double Album","Morgan Wallen"
15,"The Secret Of Us","Gracie Abrams"
16,"Stick Season","Noah Kahan"
17,"Hurry Up Tomorrow","The Weeknd
18,"F-1 Trillion","Post Malone"
19,"MUSIC","Playboi Carti"
20,"Beautifully Broken","Jelly Roll"
21,"Take Care","BigXthaPlug"
22,"Where I've Been, Isn't Where I'm Going","Shaboozey"
23,"So Close To What","Tate McRae"
24,"Brat","Charli xcx"
25,"Rumours","Fleetwood Mac"
26,"You'll Be Alright, Kid","Alex Warren"
27,"Fireworks & Rollerblades","Benson Boone"
28,"Eternal Sunshine","Ariana Grande"
29,"Last Lap","Rod Wave"
30,"MAYHEM","Lady Gaga"
31,"American Heartbreak","Zach Bryan"
32,"I've Tried Everything But Therapy (Part I)","Teddy Swims
33,"Lover","Taylor Swift"
34,"good kid, m.A.A.d city","Kendrick Lamar"
35,"Diamonds","Elton John"
36,"Incomodo","Tito Double P"
37,"Folklore","Taylor Swift"
38,"Take Care","Drake"
39,"+-=÷x (Tour Collection)","Ed Sheeran"
40,"The Diamond COllection","Post Malone"
41,"Hamilton: An American Musical","Original Broadway Cast"
42,"Un Verano Sin Ti","Bad Bunny"
43,"Zach Bryan","Zach Bryan"
44,"The Great American Bar Scene","Zach Bryan"
45,"DAMN.","Kendrick Lamar"
46,"Midnights","Taylor Swift"
47,"Blonde", "Frank Ocean"
48,"Ctrl","SZA"
49,"Wicked: The Soundtrack","Cynthia Erivo, Ariana Grande & Various Artists"
50,"Curtain Call: The Hits","Eminem"
51,"Cold Beer & Country Music","Zach Top"
52,"Hozier","Hozier"
53,"Sour","Olivia Rodrigo"
54,"Guts","Olivia Rodrigo"
55,"1989 (Taylor's Version),"Taylor Swift"
56,"reputation","Taylor Swift"
57,"Glorious","GloRilla"
58,"Chronicle: The 20 Greatest Hits","Creedence Clearwater Revival Featuring John Fogerty"
59,"This One's For You","Luke Combs"
60,"Cosa Nuestra","Rauw Alejandro"
61,"Submarine","The Marias"
62,"Man's Best Friend","Sabrina Carpenter"
63,"The Best Of Nickelback: Volume 1","Nickleback"
64,"Greatest Hits","Queen"
65,"Exodo","Peso Pluma"
66,"IGOR","Tyler, The Creator"
67,"We Don't Trust You","Future & Metro Boomin"
68,"For All The Dogs","Drake"
69,"Views","Drake"
70,"Utopia","Travis Scott"
71,"Channel Orange","Frank Ocean"
72,"Traveller","Chris Stapleton"
73,"Starboy","The Weeknd"
74,"My Turn","Lil Baby"
75,"Journey's Greatest Hits","Journey"
76,"Nevermind","Nirvana"
77,"Goodbye & Good Riddance","Juice WRLD"
78,"Swag","Justin Bieber"
79,"If I Know Me","Morgan Wallen"
80,"Greatest Hits","Creed"
81,"Genesis","Peso Pluma"
82,"Legend: The Best Of Bob Marley And The Wailers","Bob Marley And The Wailers"
83,"Alligator Bites Never Heal","Doechii"
84,"Don't Mind If I Do","Riley Green"
85,"Certified Lover Boy","Drake"
86,"WHAM","Lil Baby"
87,"AM","Arctic Monkeys"
88,"Restless Mind","Sam Barber"
89,"Restless Mind","Sam Barber"
90,"Graduation","Kanye West"
91,"The Fame","Lady Gaga"
92,"2014 Forest Hills Drive","J. Cole"
93,"Am I Okay?","Megan Moroney"
94,"Born To Die","Lana Del Rey"
95,"Thriller","Michael Jackson"
96,"I Never Liked You","Future"
97,"Greatest Hits","Tom Petty And The Heartbreakers"
98,"Gettin' Old","Luke Combs"
99,"T R A P S O U L","Bryson Tiller"
100,"Red (Taylor's Version)","Taylor Swift"
101,"Hungover","Ella Langley"
102,"Greatest Hits","Pitbull"
103,"Mi Vida Mi Muerte","Neton Vega"
104,"Greatest Hits","2Pac"
105,"ASTROWORLD","Travis Scott"
106,"Religiously. The Album.","Bailey Zimmerman"
107,"111XPANTIA","Fuerza Regida"
