rank,album,artist
1,"The 20/20 Experience","Justin Timberlake"
2,"Red","Taylor Swift"
3,"Take Me Home","One Direction"
4,"Unorthodox Jukebox","Bruno Mars"
5,"Babel","Mumford & Sons"
6,"Night Visions","Imagine Dragons"
7,"Here's To The Good Times","Florida Georgia Line"
8,"The Truth About Love","P!nk"
9,"Crash My Party","Luke Bryan"
10,"Unapologetic","Rihanna"
11,"Nothing Was The Same","Drake"
12,"Magna Carta... Holy Grail","Jay-Z"
13,"The Lumineers","The Lumineers"
14,"The World From The Side Of The Moon","Phillip Phillips"
15,"The Heist","Macklemore & Ryan Lewis"
16,"The Marshall Mathers LP 2","Eminem"
17,"Based On A True Story ...","Blake Shelton"
18,"Night Train","Jason Aldean"
19,"Random Access Memories","Daft Punk"
20,"Pitch Perfect","Soundtrack"
21,"21","Adele"
22,"Overexposed","Maroon 5"
23,"Some Nights","fun."
24,"good kid, m.A.A.d city","Kendrick Lamar"
25,"Girl On Fire","Alicia Keys"
26,"Merry Christmas, Baby","Rod Stewart"
27,"Hunter Hayes","Hunter Hayes"
28,"To Be Loved","Michael Buble"
29,"Tornado","Little Big Town"
30,"Les Miserables","Soundtrack"
31,"Blown Away","Carrie Underwood"
32,"NOW That's What I Call Country Vol. 2","Various Artists"
33,"Tailgates & Tanlines","Luke Bryan"
34,"Born Sinner","J. Cole"
35,"Christmas","Michael Buble"
36,"Blurred Lines","Robin Thicke"
37,"Yeezus","Kanye West"
38,"I Am Not A Human Being II","Lil Wayne"
39,"Rebel Soul","Kid Rock"
40,"The 20/20 Experience (2 Of 2)","Justin Timberlake"
41,"Believe","Justin Bieber"
42,"Greatest Hits: Chapter One","Kelly Clarkson"
43,"Up All Night","One Direction"
44,"The Great Gatsby","Soundtrack"
45,"Spring Break... Here To Party","Luke Bryan"
46,"+","Ed Sheeran"
47,"Chief","Eric Church"
48,"My Head Is An Animal","Of Monsters and Men"
49,"Prism","Katy Perry"
50,"Trouble Man: Heavy Is The Head","T.I."
51,"Bangerz","Miley Cyrus"
52,"Sigh No More","Mumford & Sons"
53,"Born To Die","Lana Del Rey"
54,"NOW That's What I Call Country Vol. 2","Various Artists"
55,"Pioneer","The Band Perry"
56,"Golden","Lady Antebellum"
57,"All That Echoes","Josh Groban"
58,"Two Lanes Of Freedom","Tim McGraw"
59,"Save Rock and Roll","Fall Out Boy"
60,"Long.Live.A$AP","A$AP Rocky"
61,"True Believers","Darius Rucker"
62,"Celebration Day","Led Zeppelin"
63,"NOW 46","Various Artists"
64,"Pure Heroine","Lorde"
65,"Trilogy","The Weeknd"
66,"On This Winter's Night","Lady Antebellum"
67,"O.N.I.F.C.","Wiz Khalifa"
68,"Cheers, It's Christmas","Blake Shelton"
69,"Uncaged","Zac Brown Band"
70,"Life On A Rock","Kenny Chesney"
71,"Passione","Andrea Bocelli"
72,"Believe: Acoustic","Justin Bieber"
73,"Doo-Wops & Hooligans","Bruno Mars"
74,"Modern Vampires Of The City","Vampire Weekend"
75,"Kidz Bop 23","Kidz Bop Kids"
76,"Teen Beach Movie","Soundtrack"
77,"Love Is Everything","George Strait"
78,"Global Warming","Pitbull"
79,"El Camino","The Black Keys"
80,"The Gifted","Wale"
81,"Woman To Woman","Keyshia Cole"
82,"Hail To The King","Avenged Sevenfold"
83,"NOW 47","Various Artists"
84,"2013 Grammy Nominees","Various Artists"
85,"Boys & Girls","Alabama Shakes"
86,"13","Black Sabbath"
87,"Set You Free","Gary Allan"
88,"Native","OneRepublic"
89,"Kaleidoscope Dream","Miguel"
90,"The Twilight Saga: Breaking Dawn: Part 2","Soundtrack"
91,"The Wrong Side Of Heaven and The Righteous Side Of Hell: Volume 1","Five Finger Death Punch"
92,"Warrior","Ke$ha"
93,"Nashville: The Music Of Nashville: Season 1: Volume 1","Soundtrack"
94,"Demi","Demi Lovato"
95,"Paramore","Paramore"
96,"Paradise Valley","John Mayer"
97,"Four The Record","Miranda Lambert"
98,"Christmas With Scotty McCreery","Scotty McCreery"
99,"Lightning Bolt","Pearl Jam"
100,"Wheelhouse","Brad Paisley"
101,"Stars Dance","Selena Gomez"
102,"WOW Hits 2013","Various Artists"
103,"ARTPOP","Lady Gaga"
104,"Side Effects Of You","Fantasia"
105,"The Civil Wars","The Civil Wars"
106,"Yours Truly","Ariana Grande"
107,"The Legend Of Johnny Cash","Johnny Cash"
108,"Based On A T.R.U. Story","2 Chainz"
109,"Kidz Bop 24","Kidz Bop Kids"
110,"Love and War","Tamar Braxton"
111,"Burning Lights","Chris Tomlin"
112,"Legend","Bob Marley & The Wailers"
113,"The 2nd Law","Muse"
114,"Same Trailer Different Park","Kacey Musgraves"
115,"Paradise (EP)","Lana Del Rey"
116,"Indicud","Kid Cudi"
117,"Lotus","Christina Aguilera"
118,"Halcyon","Ellie Goulding"
119,"Best Days","Tamela Mann"
120,"Annie Up","Pistol Annies"
121,"Closer To The Truth","Cher"
122,"From Here To Now To You","Jack Johnson"
123,"Jesus Piece","The Game"
124,"Duck The Halls: A Robertson Family Christmas","The Robertsons"
125,"Hard 2 Love","Lee Brice"
126,"Fuse","Keith Urban"
127,"Teenage Dream","Katy Perry"
128,"Precious Memories: Volume II","Alan Jackson"
129,"Red River Blue","Blake Shelton"
130,"Love In The Future","John Legend"
131,"Halfway To Heaven","Brantley Gilbert"
132,"Standing Ovation: The Greatest Songs from The Stage","Susan Boyle"
133,"Caught In The Act: Live","Eric Church"
134,"The Blessed Unrest","Sara Bareilles"
135,"Reflektor","The Arcade Fire"
136,"Watching Movies With The Sound Off","Mac Miller"
137,"Mechanical Bull","Kings Of Leon"
138,"What About Now","Bon Jovi"
139,"GRRR!","The Rolling Stones"
140,"My Kinda Party","Jason Aldean"
141,"...Like Clockwork","Queens Of The Stone Age"
142,"Off The Beaten Path","Justin Moore"
143,"Three Kings","TGT"
144,"The Foundation","Zac Brown Band"
145,"Greatest Hits 2","Journey"
146,"Hesitation Marks","Nine Inch Nails"
147,"channel ORANGE","Frank Ocean"
148,"Dreams Of Fireflies (On A Christmas Night) (EP)","Trans-Siberian Orchestra"
149,"King Animal","Soundgarden"
150,"An Awesome Wave","alt-J"
151,"Kiss Land","The Weeknd"
152,"Rise","Skillet"
153,"Cee Lo's Magic Moment","Cee Lo Green"
154,"Finally Rich","Chief Keef"
155,"Trouble Will Find Me","The National"
156,"Loaded: The Best Of Blake Shelton","Blake Shelton"
157,"La Misma Gran Senora","Jenni Rivera"
158,"Come To The Well","Casting Crowns"
159,"B.O.A.T.S. II #METIME","2 Chainz"
160,"People, Hell and Angels","Jimi Hendrix"
161,"Lindsey Stirling","Lindsey Stirling"
162,"The Next Day","David Bowie"
163,"Megalithic Symphony","AWOLNATION"
164,"Talk A Good Game","Kelly Rowland"
165,"R.E.D","Ne-Yo"
