rank,album,artist
1,"Un Verano Sin Ti","Bad Bunny"
2,"30","Adele"
3,"Dangerous: The Double Album","Morgan Wallen"
4,"Midnights","Taylor Swift"
5,"Red (Taylor's Version)","Taylor Swift"
6,"Encanto Soundtrack"
7,"Harry's House","Harry Styles"
8,"Sour","Olivia Rodrigo"
9,"Certified Lover Boy","Drake"
10,"The Highlights","The Weeknd"
11,"Planet Her","Doja Cat"
12,"I Never Liked You","Future"
13,"7220","Lil Durk"
14,"DS4EVER","Gunna"
15,"=","Ed Sheeran"
16,"My Turn","Lil Baby"
17,"Mr. Morale & The Big Steppers","Kendrick Lamar"
18,"Dawn FM","The Weeknd"
19,"Still Over It","Summer Walker"
20,"Hollywood's Bleeding","Post Malone"
21,"Renaissance","Beyonce"
22,"What You See Is What You Get","Luke Combs"
23,"Happier Than Ever","Billie Eilish"
24,"Fighting Demons","Juice WRLD"
25,"good kid, m.A.A.d city","Kendrick Lamar"
26,"Shoot For The Stars Aim For The Moon","Pop Smoke"
27,"Hall Of Fame","Polo G"
28,"F*ck Love","The Kid LAROI"
29,"Goodbye & Good Riddance","Juice WRLD"
30,"Rumours","Fleetwood Mac"
31,"Greatest Hits","Queen"
32,"This One's For You","Luke Combs"
33,"Fine Line","Harry Styles"
34,"Future Nostalgia","Dua Lipa"
35,"If I Know Me","Morgan Wallen"
36,"YHLQMDLG","Bad Bunny"
37,"An Evening With Silk Sonic","Silk Sonic (Bruno Mars & Anderson .Paak)"
38,"Legends Never Die","Juice WRLD"
39,"Justice","Justin Bieber"
40,"Diamonds","Elton John"
41,"Folklore","Taylor Swift"
42,"SoulFly","Rod Wave"
43,"Donda","Kanye West"
44,"Montero","Lil Nas X"
45,"Curtain Call: The Hits","Eminem"
46,"Honestly, Nevermind","Drake"
47,"Traveller","Chris Stapleton"
48,"Who Is Nardo Wick?","Nardo Wick"
49,"Lover","Taylor Swift"
50,"Ctrl","SZA"
51,"Starting Over","Chris Stapleton"
52,"DAMN.","Kendrick Lamar"
53,"Hamilton: An American Musical","Original Broadway Cast"
54,"American Heartbreak","Zach Bryan"
55,"Chronicle The 20 Greatest Hits","Creedence Clearwater Revival Featuring John Fogerty"
56,"Proof","BTS"
57,"Nevermind","Nirvana"
58,"When We All Fall Asleep, Where Do We Go?","Billie Eilish"
59,"Take Care","Drake"
60,"Death Race For Love","Juice WRLD"
61,"Greatest Hits","2Pac"
62,"A Gangsta's Pain","Moneybagg Yo"
63,"Twelve Carat Toothache","Post Malone"
64,"Dreamland","Glass Animals"
65,"Scorpion","Drake"
66,"The Melodic Blue","Baby Keem"
67,"Graduation","Kanye West"
68,"Evermore","Taylor Swift"
69,"El Ultimo Tour del Mundo","Bad Bunny"
70,"2014 Forest Hills Drive","J. Cole"
71,"beerbongs & bentleys","Post Malone"
72,"IGOR","Tyler, The Creator"
73,"ASTROWORLD","Travis Scott"
74,"Luv Is Rage 2","Lil Uzi Vert"
75,"1989","Taylor Swift"
76,"Come Home The Kids Miss You","Jack Harlow"
77,"Legend: The Best Of Bob Marley And The Wailers","Bob Marley And The Wailers"
78,"Greatest Hits","Tom Petty And The Heartbreakers"
79,"Over It","Summer Walker"
80,"Views","Drake"
81,"Greatest Hits","Guns N' Roses"
82,"The Voice Of The Heroes","Lil Baby & Lil Durk"
83,"Shiesty Season","Pooh Shiesty"
84,"Back In Black","AC/DC"
85,"Eternal Atake","Lil Uzi Vert"
86,"Doo-Wops & Hooligans","Bruno Mars"
87,"The GOAT","Polo G"
