rank,album,artist
88,"Whole Lotta Red","Playboi Carti"
89,"?","XXXTENTACION"
90,"Man On The Moon: The End Of Day","Kid Cudi"
91,"Stoney","Post Malone"
92,"Pray 4 Love","Rod Wave"
93,"Journey's Greatest Hits","Journey"
94,"Thriller","Michael Jackson"
95,"÷ (Divide)","Ed Sheeran"
96,"Gold: Greatest Hits","ABBA"
97,"The College Dropout","Kanye West"
98,"Mercury - Act 1","Imagine Dragons"
99,"Sincerely, Kentrell","YoungBoy Never Broke Again"
100,"Back For Everything","Kodak Black"
101,"Positions","Ariana Grande"
102,"Metallica","Metallica"
103,"Abbey Road","The Beatles"
104,"Hot Pink","Doja Cat"
105,"AM","Arctic Monkeys"
106,"Blonde","Frank Ocean"
107,"Beautiful Mind","Rod Wave"
108,"reputation","Taylor Swift"
109,"Greatest Hits","Foo Fighters"
110,"Moana Soundtrack"
111,"Country Stuff: The Album","Walker Hayes"
112,"Call Me If You Get Lost","Tyler, The Creator"
113,"Purgatory","Tyler Childers"
114,"The Off-Season","J. Cole"
115,"My Beautiful Dark Twisted Fantasy","Kanye West"
116,"Born To Die","Lana Del Rey"
117,"Greatest Hits","Bob Seger & The Silver Bullet Band"
118,"Growin' Up","Luke Combs"
119,"The Best Of Nickelback: Volume 1","Nickelback"
120,"Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
121,"Mainstream Sellout","Machine Gun Kelly"
122,"All Time Greatest Hits","Lynyrd Skynyrd"
123,"Tickets To My Downfall","Machine Gun Kelly"
124,"It's Only Me","Lil Baby"
125,"More Life","Drake"
126,"Fearless (Taylor's Version)","Taylor Swift"
127,"Greatest Hits","Pitbull"
128,"Top","YoungBoy Never Broke Again"
129,"ANTI","Rihanna"
130,"17","XXXTENTACION"
131,"Thats What They All Say","Jack Harlow"
132,"Nothing Was The Same","Drake"
133,"Christmas","Michael Buble"
134,"Channel Orange","Frank Ocean"
135,"Dr. Dre -- 2001","Dr. Dre"
136,"When It's All Said And Done... Take Time","Giveon"
137,"I Will Always Love You: The Best Of Whitney Houston","Whitney Houston"
138,"Currents","Tame Impala"
139,"The Last Slimeto","YoungBoy Never Broke Again"
140,"Gemini Rights","Steve Lacy"
141,"Starboy","The Weeknd"
142,"Colors","YoungBoy Never Broke Again"
143,"Sounds Of Summer: The Very Best Of The Beach Boys","The Beach Boys"
144,"Greatest Hits: The Ultimate Collection","Bon Jovi"
145,"The Essential Michael Jackson","Michael Jackson"
146,"Evolve","Imagine Dragons"
147,"Breezy","Chris Brown"
148,"Teenage Dream","Katy Perry"
149,"American Teen","Khalid"
150,"Die Lit","Playboi Carti"
151,"Wasteland","Brent Faiyaz"
152,"Dont Smile At Me","Billie Eilish"
153,"T R A P S O U L","Bryson Tiller"
154,"Swimming","Mac Miller"
155,"50 Number Ones","George Strait"
156,"Harry Styles","Harry Styles"
157,"Get Rich Or Die Tryin'","50 Cent"
158,"The Fame","Lady Gaga"
159,"DS2","Future"
160,"Special","Lizzo"
161,"Vice Versa","Rauw Alejandro"
162,"Awaken, My Love!","Childish Gambino"
163,"Top Gun: Maverick Soundtrack"
164,"21","Adele"
165,"X 100PRE","Bad Bunny"
166,"The Eminem Show","Eminem"
167,"Human: The Double Album","Cody Johnson"
168,"Stereotype","Cole Swindell"
169,"2 Alive","Yeat"
170,"God Did","DJ Khaled"
171,"Invasion Of Privacy","Cardi B"
172,"The Voice","Lil Durk"
173,"A Charlie Brown Christmas (Soundtrack)","Vince Guaraldi Trio"
174,"25","Adele"
175,"Up 2 Me","Yeat"
176,"Merry Christmas","Mariah Carey"
177,"Sing 2 Soundtrack"
178,"Curtain Call 2","Eminem"
179,"The Christmas Song","Nat King Cole"
180,"Ghetto Gospel","Rod Wave"
181,"1","The Beatles"
182,"Elv1s: 30 #1 Hits","Elvis Presley"
183,"Flower Boy","Tyler, The Creator"
184,"Devil's Got A New Disguise: The Very Best Of Aerosmith","Aerosmith"
185,"The Lockdown Sessions","Elton John"
186,"Give Or Take","Giveon"
187,"Hounds Of Love","Kate Bush"
188,"The Very Best Of Daryl Hall John Oates","Daryl Hall & John Oates"
189,"Indigo","Chris Brown"
190,"Number One Hits","Tim McGraw"
191,"Music To Be Murdered By","Eminem"
192,"Minisode 2: Thursday's Child (EP)","TOMORROW X TOGETHER"
193,"Traumazine","Megan Thee Stallion"
194,"Their Greatest Hits 1971-1975","Eagles"
195,"Greatest Hits So Far...","Zac Brown Band"
196,"A Christmas Gift For You From Phil Spector","Various Artists"
197,"Hey World","Lee Brice"
198,"Please Excuse Me For Being Antisocial","Roddy Ricch"
199,"Elvis (Soundtrack)","Elvis Presley & Various Artists"
200,"Greatest Hits","Blink-182"
