rank,album,artist
1,"DAMN.","Kendrick Lamar"
2,"24K Magic","Bruno Mars"
3,"Starboy","The Weeknd"
4,"Divide","Ed Sheeran"
5,"More Life","Drake"
6,"Moana","Soundtrack"
7,"Stoney","Post Malone"
8,"Culture","Migos"
9,"The Muppet Movie: Original Soundtrack Recording","Soundtrack"
10,"4 Your Eyez Only","J. Cole"
11,"Trolls","Soundtrack"
12,"Hardwired...To Self-Destruct","Metallica"
13,"Views","Drake"
14,"American Teen","Khalid"
15,"FUTURE","Future"
16,"A Pentatonix Christmas","Pentatonix"
17,"Blurryface","Twenty One Pilots"
18,"Birds In The Trap Sing McKnight","Travis Scott"
19,"Traveller","Chris Stapleton"
20,"I Decided.","Big Sean"
21,"Memories...Do Not Open","The Chainsmokers"
22,"Illuminate","Shawn Mendes"
23,"ANTI","Rihanna"
24,"Evolve","Imagine Dragons"
25,"Everybody","Logic"
26,"25","Adele"
27,"Ripcord","Keith Urban"
28,"From A Room: Volume 1","Chris Stapleton"
29,"Sremmlife 2","Rae Sremmurd"
30,"Collage (EP)","The Chainsmokers"
31,"Grateful","DJ Khaled"
32,""Awaken, My Love!"","Childish Gambino"
33,"Coloring Book","Chance the Rapper"
34,"Suicide Squad: The Album","Soundtrack"
35,"Joanne","Lady Gaga"
36,"4:44","Jay-Z"
37,"HNDRXX","Future"
38,"Dangerous Woman","Ariana Grande"
39,"Harry Styles","Harry Styles"
40,"Dig Your Roots","Florida Georgia Line"
41,"Luv Is Rage 2","Lil Uzi Vert"
42,"Ctrl","SZA"
43,"Guardians Of The Galaxy, Vol. 2: Awesome Mix Vol. 2","Soundtrack"
44,"The Weight Of These Wings","Miranda Lambert"
45,"Beauty and The Beast (2017)","Soundtrack"
46,"Beautiful Trauma","P!nk"
47,"Beauty Behind The Madness","The Weeknd"
48,"Painting Pictures","Kodak Black"
49,"Death Of A Bachelor","Panic! At The Disco"
50,"x","Ed Sheeran"
51,"Kane Brown","Kane Brown"
52,"Pretty Girls Like Trap Music","2 Chainz"
53,"La La Land","Soundtrack"
