rank,album,artist
54,"Montevallo","Sam Hunt"
55,"Issa Album","21 Savage"
56,"T R A P S O U L","Bryson Tiller"
57,"2014 Forest Hills Drive","J. Cole"
58,"Savage Mode","21 Savage & Metro Boomin"
59,"Tangled Up","Thomas Rhett"
60,"good kid, m.A.A.d city","Kendrick Lamar"
61,"hopeless fountain kingdom","Halsey"
62,"Playboi Carti","Playboi Carti"
63,"Take Care","Drake"
64,"The Life Of Pablo","Kanye West"
65,"Sing","Soundtrack"
66,"Back From The Edge","James Arthur"
67,"Lil Uzi Vert Vs. The World","Lil Uzi Vert"
68,"Purpose","Justin Bieber"
69,"Fifty Shades Darker","Soundtrack"
70,"Brett Young","Brett Young"
71,"Lemonade","Beyoncé"
72,"California Sunrise","Jon Pardi"
73,"Legend","Bob Marley & The Wailers"
74,"Vessel","Twenty One Pilots"
75,"The Eminem Show","Eminem"
76,"Curtain Call: The Hits","Eminem"
77,"Cleopatra","The Lumineers"
78,"Greatest Hits","2Pac"
79,"Badlands","Halsey"
80,"17","XXXTentacion"
81,"There's Really A Wolf","Russ"
82,"This Is Acting","Sia"
83,"FREE 6LACK","6LACK"
84,"They Don't Know","Jason Aldean"
85,"Islah","Kevin Gates"
86,"If You're Reading This It's Too Late","Drake"
87,"Cry Baby","Melanie Martinez"
88,"Doo-Wops & Hooligans","Bruno Mars"
89,"Kill The Lights","Luke Bryan"
90,"One More Light","Linkin Park"
91,"Witness","Katy Perry"
92,"Greatest Hits 2","Journey"
93,"Funk Wav Bounces Vol. 1","Calvin Harris"
94,"We Got It From Here...Thank You 4 Your Service","A Tribe Called Quest"
95,"Metallica","Metallica"
96,"True To Self","Bryson Tiller"
97,"DS2","Future"
98,"That's Christmas To Me","Pentatonix"
99,"In The Lonely Hour","Sam Smith"
100,"The Happiest Millionaire","Soundtrack"
101,"1989","Taylor Swift"
102,"Blonde","Frank Ocean"
103,"Wins and Losses","Meek Mill"
104,"The Fate Of The Furious: The Album","Soundtrack"
105,"Nothing Was The Same","Drake"
106,"Hero","Maren Morris"
107,"21","Adele"
108,"The Human Condition","Jon Bellion"
109,"This One's For You","Luke Combs"
110,"The Perfect LUV Tape","Lil Uzi Vert"
111,"Blue & Lonesome","The Rolling Stones"
112,"Know-It-All","Alessia Cara"
113,"Night Visions","Imagine Dragons"
114,"Melodrama","Lorde"
115,"Rainbow","Kesha"
116,"Greatest Hits 2","Toby Keith"
117,"Artist","A Boogie wit da Hoodie"
118,"Project Baby Two","Kodak Black"
119,"Welcome Home","Zac Brown Band"
120,"When It's Dark Out","G-Eazy"
121,"The Devil Dont Sleep","Brantley Gilbert"
122,"GTTM: Goin Thru The Motions","PnB Rock"
123,"Life Changes","Thomas Rhett"
124,"Rather You Than Me","Rick Ross"
125,"Guardians Of The Galaxy: Awesome Mix Vol. 1","Soundtrack"
126,"The Essential Michael Jackson","Michael Jackson"
127,"Greatest Hits So Far...","Zac Brown Band"
128,"Digital Druglord","Blackbear"
129,"If I'm Honest","Blake Shelton"
130,"Jungle Rules","French Montana"
131,"NAV","NAV"
132,"Live In No Shoes Nation","Kenny Chesney"
133,"Chronicle (The 20 Greatest Hits)","Creedence Clearwater Revival"
134,"Mr. Misunderstood","Eric Church"
135,"Greatest Hits I II & III: The Platinum Collection","Queen"
136,"Flower Boy","Tyler, The Creator"
137,"The Search For Everything","John Mayer"
138,"Abbey Road","The Beatles"
139,"Humanz","Gorillaz"
140,"Greatest Hits","Guns N' Roses"
141,"Sgt. Pepper's Lonely Hearts Club Band","The Beatles"
142,"Lust For Life","Lana Del Rey"
143,"Born To Die","Lana Del Rey"
144,"SweetSexySavage","Kehlani"
145,"The Return Of East Atlanta Santa","Gucci Mane"
146,"Christmas","Michael Buble"
147,"The Ultimate Collection","Garth Brooks"
148,"Unorthodox Jukebox","Bruno Mars"
149,"1","The Beatles"
150,"Nine Track Mind","Charlie Puth"
151,"Reloaded: 20 #1 Hits","Blake Shelton"
152,"EPIC AF (Yellow/Pink)","Various Artists"
153,"The Thrill Of It All","Sam Smith"
154,"Trilogy","The Weeknd"
155,"Rumours","Fleetwood Mac"
156,"You Should Be Here","Cole Swindell"
157,"The Fame","Lady Gaga"
158,"4Ever","Prince"
159,"The RCA-List, Vol 4","Various Artists"
160,"Black","Dierks Bentley"
161,"BEAUTIFUL THUGGER GIRLS","Young Thug"
162,"Woodstock","Portugal. The Man"
163,"My Moment","Tee Grizzley"
164,"How Can It Be","Lauren Daigle"
165,"Greatest Hits","Red Hot Chili Peppers"
166,"NOW 61","Various Artists"
167,"Tremaine The Album","Trey Songz"
168,"Recovery","Eminem"
169,"Greatest Hits","The Notorious B.I.G."
170,"Tell Me You Love Me","Demi Lovato"
171,"The Bigger Artist","A Boogie wit da Hoodie"
172,"Encore","DJ Snake"
173,"Crash My Party","Luke Bryan"
174,"What A Time To Be Alive","Drake & Future"
175,"Destiny: Original Soundtrack","Soundtrack"
176,"Handwritten","Shawn Mendes"
177,"Concrete and Gold","Foo Fighters"
178,"[Hybrid Theory]","Linkin Park"
179,"Flicker","Niall Horan"
180,"Here's To The Good Times","Florida Georgia Line"
181,"To Pimp A Butterfly","Kendrick Lamar"
182,"Fetty Wap","Fetty Wap"
183,"Nevermind","Nirvana"
184,"Perfect Timing","NAV and Metro Boomin"
185,"Christmas Together","Garth Brooks & Trisha Yearwood"
186,"The First Time","Kelsea Ballerini"
187,"Big Baby D.R.A.M.","D.R.A.M."
188,"Now","Shania Twain"
189,"Darkness and Light","John Legend"
190,"Hozier","Hozier"
191,"NOW 62","Various Artists"
192,"The RCA-List, Vol. 2","Various Artists"
193,"Long Live Nut","YFN Lucci"
194,"Epic Lit (Version 2)","Various Artists"
195,"+","Ed Sheeran"
196,"Sing It Now: Songs Of Faith & Hope","Reba McEntire"
197,"Beyoncé","Beyoncé"
198,"The Ultimate Hits","Garth Brooks"
199,"The Breaker","Little Big Town"
200,"Heart Break","Lady Antebellum"
