rank,song,artist
1,"Love Yourself","Justin Bieber"
2,"Sorry","Justin Bieber"
3,"One Dance","Drake Featuring WizKid & Kayla"
4,"Work [Clean Edit]","Rihanna Featuring Drake"
5,"Stressed Out","Twenty One Pilots"
6,"Panda [Clean]","Desiigner"
7,"Hello","Adele"
8,"Don't Let Me Down","The Chainsmokers Featuring Daya"
9,"Can't Stop The Feeling!","Justin Timberlake"
10,"Closer","The Chainsmokers Featuring Halsey"
11,"Cheap Thrills","Sia Featuring Sean Paul"
12,"7 Years","Lukas Graham"
13,"Needed Me [Clean]","Rihanna"
14,"My House","Flo Rida"
15,"I Took A Pill In Ibiza [SeeB Remix]","Mike Posner"
16,"Work From Home [No Rap Edit]","Fifth Harmony"
17,"This Is What You Came For","Calvin Harris Featuring Rihanna"
18,"Cake By The Ocean [Clean Edit]","DNCE"
19,"Me Myself & I [Clean]","G-Eazy Featuring Bebe Rexha"
20,"Ride","Twenty One Pilots"
21,"Heathens","Twenty One Pilots"
22,"Pillowtalk [Clean]","Zayn"
23,"Stitches","Shawn Mendes"
24,"Hotline Bling [Clean]","Drake"
25,"Cold Water","Major Lazer Featuring Justin Bieber & M0"
26,"Send My Love (To Your New Lover)","Adele"
27,"Roses","The Chainsmokers Featuring Rozes"
28,"Treat You Better","Shawn Mendes"
29,"Too Good","Drake Featuring Rihanna"
30,"Low Life [Clean]","Future Featuring The Weeknd"
31,"What Do You Mean?","Justin Bieber"
32,"The Hills","The Weeknd"
33,"Just Like Fire","Pink"
34,"Broccoli [Clean]","D.R.A.M. Featuring Lil Yachty"
35,"Don't [Clean]","Bryson Tiller"
36,"Dangerous Woman","Ariana Grande"
37,"Jumpman","Drake & Future"
38,"I Hate U, I Love U [Clean Edit]","Gnash Featuring Olivia O'Brien"
39,"Here","Alessia Cara"
40,"Same Old Love [Clean Version]","Selena Gomez"
41,"Controlla","Drake Featuring Popcaan"
42,"Like I'm Gonna Lose You","Meghan Trainor Featuring John Legend"
43,"One Call Away","Charlie Puth"
44,"Let It Go [Uptempo Pop Mix]","James Bay"
45,"NO","Meghan Trainor"
46,"Never Forget You","Zara Larsson & MNEK"
47,"Let Me Love You","DJ Snake Featuring Justin Bieber"
48,"Don't Mind [Clean]","Kent Jones"
49,"H.O.L.Y.","Florida-Georgia Line"
50,"We Don't Talk Anymore","Charlie Puth Featuring Selena Gomez"
51,"Into You","Ariana Grande"
52,"Gold","Kiiara"
53,"Exchange [Clean]","Bryson Tiller"
54,"679 [Clean Edit]","Fetty Wap Featuring Remy Boyz"
55,"Oui [Clean Edit]","Jeremih"
56,"Hands To Myself","Selena Gomez"
57,"2 Phones [Clean]","Kevin Gates"
58,"Starboy [Clean Edit]","The Weeknd Featuring Daft Punk"
59,"For Free [Clean]","DJ Khaled Featuring Drake"
60,"Never Be Like You [Clean Edit]","Flume Featuring Kai"
61,"In The Night","The Weeknd"
62,"Me Too","Meghan Trainor"
63,"Ex's and Oh's","Elle King"
64,"Die A Happy Man","Thomas Rhett"
65,"White Iverson [Clean]","Post Malone"
66,"Close","Nick Jonas Featuring Tove Lo"
67,"Unsteady","X Ambassadors"
68,"Sucker For Pain [Clean]","Lil Wayne Featuring Wiz Khalifa & Imagine Dragons"
69,"Down In The DM","Yo Gotti"
70,"LUV [Clean]","Tory Lanez"
71,"Sorry [Clean]","Beyonce"
72,"Can't Feel My Face","The Weeknd"
73,"Hymn For The Weekend","Coldplay"
74,"Say It [Clean]","Tory Lanez"
75,"Antidote","Travis Scott"
76,"Lost Boy","Ruth B"
77,"Side To Side [Clean Edit]","Ariana Grande Featuring Nicki Minaj"
78,"Sit Still, Look Pretty","Daya"
79,"Wildest Dreams [Radio Mix]","Taylor Swift"
80,"Middle","DJ Snake Featuring Bipolar Sunshine"
81,"On My Mind","Ellie Goulding"
82,"Pop Style","Drake Featuring The Throne"
83,"When We Were Young","Adele"
84,"Hide Away","Daya"
85,"Lean On","Major Lazer Featuring M0 & DJ Snake"
86,"I Know What You Did Last Summer","Shawn Mendes & Camila Cabello"
87,"All The Way Up","Fat Joe & Remy Ma"
88,"Watch Me (Whip/Nae Nae)","Silento"
89,"Back To Sleep","Chris Brown"
90,"No Limit [Clean]","Usher Featuring Young Thug"
91,"Cut It [Clean]","O.T. Genasis Featuring Young Dolph"
92,"Really Really [Clean]","Kevin Gates"
93,"All In My Head (Flex) [Super Clean Edit]","Fifth Harmony"
94,"Starving [Clean Edit]","Hailee Steinfeld & Grey Featuring Zedd"
95,"Adventure Of ALifetime [Radio Edit]","Coldplay"
96,"Humble And Kind","Tim McGraw"
97,"Wicked [Clean]","Future"
98,"Tiimmy Turner [Clean]","Desiigner"
99,"See You Again [Clean Edit]","Wiz Khalifa Featuring Charlie Puth"
100,"Perfect","One Direction"
