rank,song,artist
1,"Boom Boom Pow","The Black Eyed Peas"
2,"Poker Face","Lady Gaga"
3,"Just Dance","Lady Gaga feat. Colby O'Donis"
4,"I Gotta Feeling","The Black Eyed Peas"
5,"Love Story","Taylor Swift"
6,"Right Round","Flo Rida"
7,"I'm Yours","Jason Mraz"
8,"Single Ladies (Put A Ring On It)","Beyonce"
9,"Heartless","Kanye West"
10,"Gives You Hell","The All-American Rejects"
11,"You Belong With Me","Taylor Swift"
12,"Dead And Gone","T.I. feat. Justin Timberlake"
13,"You Found Me","The Fray"
14,"Use Somebody","Kings Of Leon"
15,"Knock You Down","Keri Hilson feat. Kanye West and Ne-Yo"
16,"Blame It","Jamie Foxx feat. T-Pain"
17,"I Know You Want Me (Calle Ocho)","Pitbull"
18,"Live Your Life","T.I. feat. Rihanna"
19,"Kiss Me Thru The Phone","Soulja Boy Tell 'em feat. Sammie"
20,"Down","Jay Sean feat. Lil Wayne"
21,"The Climb","Miley Cyrus"
22,"Best I Ever Had","Drake"
23,"My Life Would Suck Without You","Kelly Clarkson"
24,"Halo","Beyonce"
25,"Hot n Cold","Katy Perry"
26,"Second Chance","Shinedown"
27,"Circus","Britney Spears"
28,"Day 'n' Nite","Kid Cudi"
29,"Party in the U.S.A.","Miley Cyrus"
30,"Don't Trust Me","3OH!3"
31,"Run This Town","Jay-Z, Rihanna and Kanye West"
32,"Let It Rock","Kevin Rudolf feat. Lil Wayne"
33,"Fire Burning","Sean Kingston"
34,"Whatcha Say","Jason DeRulo"
35,"Lovegame","Lady Gaga"
36,"Waking Up In Vegas","Katy Perry"
37,"Birthday Sex","Jeremih"
38,"Sober","Pink"
39,"Womanizer","Britney Spears"
40,"Whatever You Like","T.I."
41,"Obsessed","Mariah Carey"
42,"Mad","Ne-Yo"
43,"Good Girls Go Bad","Cobra Starship feat. Leighton Meester"
44,"Love Lockdown","Kanye West"
45,"So What","Pink"
46,"Hotel Room Service","Pitbull"
47,"Crack A Bottle","Eminem, Dr. Dre and 50 Cent"
48,"If I Were A Boy","Beyonce"
49,"Turning Me On","Keri Hilson feat. Lil Wayne"
50,"I Hate This Part","The Pussycat Dolls"
51,"Gotta Be Somebody","Nickelback"
52,"Please Don't Leave Me","Pink"
53,"Paparazzi","Lady Gaga"
54,"Beautiful","Akon feat. Colby O'Donis and Kardinal Offishall"
55,"Viva la Vida","Coldplay"
56,"Right Now (Na Na Na)","Akon"
57,"Battlefield","Jordin Sparks"
58,"Sugar","Flo Rida feat. Wynter"
59,"Miss Independent","Ne-Yo"
60,"Fireflies","Owl City"
61,"New Divide","Linkin Park"
62,"Empire State Of Mind","Jay-Z + Alicia Keys"
63,"No Surprise","Daughtry"
64,"She Wolf","Shakira"
65,"Break Up","Mario feat. Gucci Mane and Sean Garrett"
66,"Sweet Dreams","Beyonce"
67,"Every Girl","Young Money"
68,"Fallin' For You","Colbie Caillat"
69,"Untouched","The Veronicas"
70,"If Today Was Your Last Day","Nickelback"
71,"Throw It In The Bag","Fabolous feat. The-Dream"
72,"Love Drunk","Boys Like Girls"
73,"I Love College","Asher Roth"
74,"If U Seek Amy","Britney Spears"
75,"Big Green Tractor","Jason Aldean"
76,"White Horse","Taylor Swift"
77,"Disturbia","Rihanna"
78,"21 Guns","Green Day"
79,"Turn My Swag On","Soulja Boy Tell'em"
80,"Rockin' That Thang","The-Dream"
81,"Chicken Fried","Zac Brown Band"
82,"Diva","Beyonce"
83,"Replay","Iyaz"
84,"Then","Brad Paisley"
85,"Her Diamonds","Rob Thomas"
86,"How Do You Sleep?","Jesse McCartney feat. Ludacris"
87,"3","Britney Spears"
88,"Forever","Drake feat. Kanye West, Lil Wayne and Eminem"
89,"One Time","Justin Bieber"
90,"I Run To You","Lady Antebellum"
91,"I Do Not Hook Up","Kelly Clarkson"
92,"Green Light","John Legend feat. Andre 3000"
93,"People Are Crazy","Billy Currington"
94,"Whatever It Is","Zac Brown Band"
95,"Already Gone","Kelly Clarkson"
96,"Goodbye","Kristinia DeBarge"
97,"Say Hey (I Love You)","Michael Franti and Spearhead feat. Cherine Anderson"
98,"Pop Champagne","Jim Jones and Ron Browz feat. Juelz Santana"
99,"Pretty Wings","Maxwell"
100,"Never Say Never","The Fray"
