rank,song,artist
1,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
2,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
3,"Without Me","Halsey"
4,"Bad Guy","Billie Eilish"
5,"Wow.","Post Malone"
6,"Happier","Marshmello & Bastille"
7,"7 Rings","Ariana Grande"
8,"Talk","Khalid"
9,"Sicko Mode","Travis Scott"
10,"Sucker","Jonas Brothers"
11,"High Hopes","Panic! At The Disco"
12,"Thank U, Next","Ariana Grande"
13,"Truth Hurts","Lizzo"
14,"Dancing With A Stranger","Sam Smith & Normani"
15,"Senorita","Shawn Mendes & Camila Cabello"
16,"I Don't Care","Ed Sheeran & Justin Bieber"
17,"Eastside","benny blanco, Halsey & Khalid"
18,"Going Bad","Meek Mill Featuring Drake"
19,"Shallow","Lady Gaga & Bradley Cooper"
20,"Better","Khalid"
21,"No Guidance","Chris Brown Featuring Drake"
22,"Girls Like You","Maroon 5 Featuring Cardi B"
23,"Sweet But Psycho","Ava Max"
24,"Suge","DaBaby"
25,"Middle Child","J. Cole"
26,"Drip Too Hard","Lil Baby & Gunna"
27,"Someone You Loved","Lewis Capaldi"
28,"Ran$om","Lil Tecca"
29,"If I Can't Have You","Shawn Mendes"
30,"Goodbyes","Post Malone Featuring Young Thug"
31,"ZEZE","Kodak Black Featuring Travis Scott & Offset"
32,"Better Now","Post Malone"
33,"Youngblood","5 Seconds Of Summer"
34,"Money In The Grave","Drake Featuring Rick Ross"
35,"Speechless","Dan + Shay"
36,"Break Up With Your Girlfriend, I'm Bored","Ariana Grande"
37,"Please Me","Cardi B & Bruno Mars"
38,"Money","Cardi B"
39,"You Need To Calm Down","Taylor Swift"
40,"Panini","Lil Nas X"
41,"Look Back At It","A Boogie Wit da Hoodie"
42,"A Lot","21 Savage"
43,"ME!","Taylor Swift Featuring Brendon Urie"
44,"MIA","Bad Bunny Featuring Drake"
45,"Pop Out","Polo G Featuring Lil Tjay"
46,"Beautiful Crazy","Luke Combs"
47,"Thotiana","Blueface"
48,"Lucid Dreams","Juice WRLD"
49,"Mo Bamba","Sheck Wes"
50,"Beautiful People","Ed Sheeran Featuring Khalid"
51,"Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black"
52,"Whiskey Glasses","Morgan Wallen"
53,"God's Country","Blake Shelton"
54,"Be Alright","Dean Lewis"
55,"Pure Water","Mustard & Migos"
56,"The Git Up","Blanco Brown"
57,"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
58,"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee"
59,"Envy Me","Calboy"
60,"You Say","Lauren Daigle"
61,"Hey Look Ma, I Made It","Panic! At The Disco"
62,"Circles","Post Malone"
63,"Beer Never Broke My Heart","Luke Combs"
64,"The London","Young Thug, J. Cole & Travis Scott"
65,"Con Calma","Daddy Yankee & Katy Perry Featuring Snow"
66,"Murder On My Mind","YNW Melly"
67,"When The Party's Over","Billie Eilish"
68,"Act Up","City Girls"
69,"I Like It","Cardi B, Bad Bunny & J Balvin"
70,"Trampoline","SHAED"
71,"Leave Me Alone","Flipp Dinero"
72,"Breathin","Ariana Grande"
73,"Bury A Friend","Billie Eilish"
74,"Close Friends","Lil Baby"
75,"Baby Shark","Pinkfong"
76,"My Type","Saweetie"
77,"Worth It","YK Osiris"
78,"Only Human","Jonas Brothers"
79,"Knockin' Boots","Luke Bryan"
80,"Trip","Ella Mai"
81,"Rumor","Lee Brice"
82,"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine"
83,"How Do You Sleep?","Sam Smith"
84,"Baby","Lil Baby & DaBaby"
85,"Look What God Gave Her","Thomas Rhett"
86,"Good As You","Kane Brown"
87,"Clout","Offset Featuring Cardi B"
88,"Love Lies","Khalid & Normani"
89,"One Thing Right","Marshmello & Kane Brown"
90,"Cash s**t","Megan Thee Stallion Featuring DaBaby"
91,"Tequila","Dan + Shay"
92,"Shotta Flow","NLE Choppa"
93,"Hot Girl Summer","Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign"
94,"Talk You Out Of It","Florida Georgia Line"
95,"Beautiful","Bazzi Featuring Camila Cabello"
96,"Eyes On You","Chase Rice"
97,"All To Myself","Dan + Shay"
98,"Boyfriend","Ariana Grande & Social House"
99,"Walk Me Home","P!nk"
100,"Robbery","Juice WRLD"
