rank,song,artist
1,"Blinding Lights","The Weeknd"
2,"Circles","Post Malone"
3,"The Box","Roddy Ricch"
4,"Don't Start Now","Dua Lipa"
5,"Rockstar","DaBaby Featuring Roddy Ricch"
6,"Adore You","Harry Styles"
7,"Life Is Good","Future Featuring Drake"
8,"Memories","Maroon 5"
9,"The Bones","Maren Morris"
10,"Someone You Loved","Lewis Capaldi"
11,"Say So","Doja Cat"
12,"I Hope","Gabby Barrett Featuring Charlie Puth"
13,"Whats Poppin","Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
14,"Dance Monkey","Tones And I"
15,"Savage","Megan Thee Stallion"
16,"Roxanne","Arizona Zervas"
17,"Intentions","Justin Bieber Featuring Quavo"
18,"Everything I Wanted","Billie Eilish"
19,"Roses","SAINt JHN"
20,"Watermelon Sugar","Harry Styles"
21,"Before You Go","Lewis Capaldi"
22,"Falling","Trevor Daniel"
23,"10,000 Hours","Dan + Shay & Justin Bieber"
24,"WAP","Cardi B Featuring Megan Thee Stallion"
25,"Ballin'","Mustard & Roddy Ricch"
26,"Hot Girl Bummer","blackbear"
27,"Blueberry Faygo","Lil Mosey"
28,"Heartless","The Weeknd"
29,"BOP","DaBaby"
30,"Lose You To Love Me","Selena Gomez"
31,"Good As Hell","Lizzo"
32,"Toosie Slide","Drake"
33,"Break My Heart","Dua Lipa"
34,"Chasin' You","Morgan Wallen"
35,"Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo"
36,"No Guidance","Chris Brown Featuring Drake"
37,"My Oh My","Camila Cabello Featuring DaBaby"
38,"Dynamite","BTS"
39,"Go Crazy","Chris Brown & Young Thug"
40,"High Fashion","Roddy Ricch Featuring Mustard"
41,"Laugh Now Cry Later","Drake Featuring Lil Durk"
42,"Woah","Lil Baby"
43,"Death Bed","Powfu Featuring beabadoobee"
44,"Senorita","Shawn Mendes & Camila Cabello"
45,"HIGHEST IN THE ROOM","Travis Scott"
46,"Bad Guy","Billie Eilish"
47,"Mood","24kGoldn Featuring iann dior"
48,"Rain On Me","Lady Gaga & Ariana Grande"
49,"For The Night","Pop Smoke Featuring Lil Baby & DaBaby"
50,"RITMO (Bad Boys For Life)","Black Eyed Peas X J Balvin"
51,"Heart On Ice","Rod Wave"
52,"Nobody But You","Blake Shelton Duet With Gwen Stefani"
53,"Trampoline","SHAED"
54,"Come & Go","Juice WRLD x Marshmello"
55,"Truth Hurts","Lizzo"
56,"If The World Was Ending","JP Saxe Featuring Julia Michaels"
57,"We Paid","Lil Baby & 42 Dugg"
58,"Yummy","Justin Bieber"
59,"One Man Band","Old Dominion"
60,"Got What I Got","Jason Aldean"
61,"Sunday Best","Surfaces"
62,"Godzilla","Eminem Featuring Juice WRLD"
63,"Bandit","Juice WRLD & YoungBoy Never Broke Again"
64,"Party Girl","StaySolidRocky"
65,"Die From A Broken Heart","Maddie & Tae"
66,"Popstar","DJ Khaled Featuring Drake"
67,"All I Want For Christmas Is You","Mariah Carey"
68,"One Of Them Girls","Lee Brice"
69,"Hard To Forget","Sam Hunt"
70,"One Margarita","Luke Bryan"
71,"Panini","Lil Nas X"
72,"Hot","Young Thug Featuring Gunna"
73,"I Hope You're Happy Now","Carly Pearce & Lee Brice"
74,"Emotionally Scarred","Lil Baby"
75,"Suicidal","YNW Melly & Juice WRLD"
76,"The Bigger Picture","Lil Baby"
77,"Only Human","Jonas Brothers"
78,"The Woo","Pop Smoke Featuring 50 Cent & Roddy Ricch"
79,"Sum 2 Prove","Lil Baby"
80,"Stuck With U","Ariana Grande & Justin Bieber"
81,"Mood Swings","Pop Smoke Featuring Lil Tjay"
82,"You Should Be Sad","Halsey"
83,"Dior","Pop Smoke"
84,"Supalonely","BENEE Featuring Gus Dapperton"
85,"Even Though I'm Leaving","Luke Combs"
86,"The Scotts","THE SCOTTS, Travis Scott & Kid Cudi"
87,"Juicy","Doja Cat & Tyga"
88,"Be Like That","Kane Brown With Swae Lee & Khalid"
89,"Homesick","Kane Brown"
90,"Rags2Riches","Rod Wave Featuring ATR Son Son"
91,"Bluebird","Miranda Lambert"
92,"Wishing Well","Juice WRLD"
93,"Does To Me","Luke Combs Featuring Eric Church"
94,"P*$$y Fairy (OTW)","Jhene Aiko"
95,"ily","surf mesa Featuring Emilee"
96,"More Than My Hometown","Morgan Wallen"
97,"Lovin' On You","Luke Combs"
98,"Said Sum","Moneybagg Yo"
99,"Slide","H.E.R. Featuring YG"
100,"Walk Em Down","NLE Choppa Featuring Roddy Ricch"
