year,rank,artist,artist_normalized,has_spotify_match,artist_followers_max,artist_popularity_max,explicit_track_share,mean_track_duration_min,n_tracks_in_dataset,n_tracks_released_in_chart_year,primary_genre,spotify_display_name,track_popularity_max,track_popularity_mean,track_popularity_mean_in_chart_year,track_popularity_min
2017,40,childish gambino,childish gambino,True,14561716.0,78.0,0.8333333333333334,4.864999999999999,6.0,,,Childish Gambino,66.0,14.0,,1.0
2017,41,chris stapleton,chris stapleton,True,9020741.0,81.0,0.0,4.88,1.0,,country,Chris Stapleton,84.0,84.0,,84.0
2017,42,pentatonix,pentatonix,False,,,,,,,,,,,,
2017,43,logic,logic,True,6141719.0,71.0,1.0,4.12,2.0,1.0,,Logic,76.0,71.0,76.0,66.0
2017,44,chris brown,chris brown,True,28338976.0,87.0,0.7333333333333333,3.858,15.0,1.0,r&b,Chris Brown,83.0,59.333333333333336,64.0,0.0
2017,45,florida georgia line,florida georgia line,True,5589342.0,70.0,0.0,3.5119999999999996,10.0,,country,Florida Georgia Line,69.0,48.3,,0.0
2017,46,charlie puth,charlie puth,True,25310805.0,80.0,0.0,3.217,10.0,1.0,soft pop,Charlie Puth,87.0,54.9,4.0,2.0
2017,47,adele,adele,True,66751662.0,83.0,0.0,4.496829268292683,41.0,,soft pop,Adele,85.0,58.78048780487805,,0.0
2017,48,maroon 5,maroon 5,True,45777722.0,85.0,0.25,3.5746428571428575,28.0,1.0,pop,Maroon 5,84.0,56.892857142857146,0.0,0.0
2017,49,katy perry,katy perry,True,38409786.0,83.0,0.05357142857142857,3.8501785714285717,56.0,2.0,pop,Katy Perry,78.0,55.75,66.0,26.0
2017,50,nicki minaj,nicki minaj,True,34297934.0,84.0,0.8888888888888888,3.506111111111111,18.0,,,Nicki Minaj,78.0,53.55555555555556,,0.0
2017,51,cardi b,cardi b,True,25960760.0,81.0,1.0,3.491818181818182,22.0,,,Cardi B,79.0,64.77272727272727,,44.0
2017,52,the rolling stones,the rolling stones,True,15714574.0,77.0,0.0,4.46,3.0,,classic rock,The Rolling Stones,82.0,70.0,,56.0
2017,53,thomas rhett,thomas rhett,True,4984665.0,73.0,0.0,3.793333333333333,3.0,,country,Thomas Rhett,72.0,59.0,,43.0
2017,54,luke bryan,luke bryan,True,9408174.0,74.0,0.0,3.6487499999999997,16.0,1.0,country,Luke Bryan,75.0,50.625,60.0,32.0
2017,55,xxxtentacion,xxxtentacion,True,51727329.0,83.0,0.875,2.0925,8.0,3.0,emo rap,XXXTENTACION,82.0,77.75,79.66666666666667,68.0
2017,56,harry styles,harry styles,True,34139515.0,80.0,0.0,3.5541935483870977,31.0,4.0,pop rock,Harry Styles,87.0,66.29032258064517,71.5,2.0
2017,57,sza,sza,True,33068979.0,87.0,0.625,3.028125,16.0,1.0,r&b,SZA,85.0,70.875,69.0,56.0
2017,58,eminem,eminem,True,104584370.0,88.0,0.9850746268656716,4.441940298507464,67.0,1.0,rap,Eminem,87.0,56.25373134328358,71.0,10.0
2017,59,beyonce,beyonce,False,,,,,,,,,,,,
2017,60,depeche mode,depeche mode,True,7379623.0,73.0,0.0,4.123333333333334,3.0,,new wave,Depeche Mode,77.0,69.66666666666667,,62.0
2017,61,luis fonsi,luis fonsi,True,10982585.0,73.0,0.0,3.3525,4.0,2.0,latin,Luis Fonsi,80.0,70.5,64.5,59.0
2017,62,maluma,maluma,True,38568546.0,83.0,0.0,3.31,1.0,,reggaeton,Maluma,78.0,78.0,,78.0
2017,63,keith urban,keith urban,True,5273567.0,67.0,0.0,4.464,5.0,,country,Keith Urban,69.0,45.8,,32.0
2017,64,miley cyrus,miley cyrus,True,26568626.0,81.0,0.22580645161290322,3.451935483870968,62.0,2.0,country pop,Miley Cyrus,84.0,50.596774193548384,59.0,0.0
2017,65,french montana,french montana,True,5838449.0,73.0,1.0,3.89,1.0,1.0,,French Montana,85.0,85.0,85.0,85.0
2017,66,brett young,brett young,False,,,,,,,,,,,,
